set,cell,model,R*_pred,node_nghen,do_duoc_lo,hi,sai_so_%,phan_loai
"DOC LAP (chinh, du lieu SACH)",cartsumx1,P1 (k=1),187.8,front-end,160.0,180.0,17.4,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx1,"P2 (c,x; k=1)",181.8,front-end,160.0,180.0,13.6,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx1,P3 (k do duoc),181.8,front-end,160.0,180.0,13.6,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx1,P3+chain,176.0,front-end,160.0,180.0,10.0,TRONG khoang
"DOC LAP (chinh, du lieu SACH)",cartsumx2,P1 (k=1),172.2,front-end,140.0,160.0,23.0,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx2,"P2 (c,x; k=1)",162.2,front-end,140.0,160.0,15.9,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx2,P3 (k do duoc),162.2,front-end,140.0,160.0,15.9,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",cartsumx2,P3+chain,153.4,front-end,140.0,160.0,9.5,TRONG khoang
"DOC LAP (chinh, du lieu SACH)",expressx1,P1 (k=1),165.3,front-end,70.0,90.0,136.1,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",expressx1,"P2 (c,x; k=1)",114.6,front-end,70.0,90.0,63.7,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",expressx1,P3 (k do duoc),84.4,front-end,70.0,90.0,20.6,TRONG khoang
"DOC LAP (chinh, du lieu SACH)",expressx1,P3+chain,84.4,front-end,70.0,90.0,20.6,TRONG khoang
"DOC LAP (chinh, du lieu SACH)",quickaddx1,P1 (k=1),179.7,front-end,80.0,100.0,124.6,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",quickaddx1,"P2 (c,x; k=1)",163.9,front-end,80.0,100.0,104.9,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",quickaddx1,P3 (k do duoc),157.0,front-end,80.0,100.0,96.3,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",quickaddx1,P3+chain,157.0,front-end,80.0,100.0,96.3,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",quickaddx2,P1 (k=1),158.9,front-end,40.0,60.0,297.4,MUON (kha thi gia)
"DOC LAP (chinh, du lieu SACH)",quickaddx2,"P2 (c,x; k=1)",135.8,front-end,40.0,60.0,239.6,MUON (kha thi gia)
