system,service,metric,scm_mape_pct,lr_mape_pct,gbr_mape_pct,scm_rmse,scm_r2,scm_f1,baseline_mean,n_train,n_test
TrainTicket,ts-station-service,CPU,5.47,22.59,4.83,0.6525,-1.438,1.0,9.622,1675,825
TrainTicket,ts-route-service,CPU,8.96,9.47,18.05,0.5302,-0.213,1.0,5.605,1675,825
TrainTicket,ts-ticketinfo-service,CPU,11.23,9.9,10.77,0.687,-4.635,1.0,5.133,1675,825
TrainTicket,ts-basic-service,CPU,7.2,10.62,4.55,0.6387,-2.295,1.0,6.225,1675,825
TrainTicket,ts-train-service,CPU,12.03,11.51,11.31,0.6367,-1.376,1.0,3.52,1675,825
TrainTicket,ts-travel-service,CPU,11.28,8.18,10.37,0.5368,-0.283,1.0,4.161,1675,825
TrainTicket,ts-travel2-service,CPU,7.91,9.38,10.28,0.5926,-0.175,1.0,5.422,1675,825
TrainTicket,ts-seat-service,CPU,17.18,16.65,9.49,0.7105,-10.136,0.0,3.253,1675,825
TrainTicket,ts-order-service,CPU,10.76,7.38,9.13,0.4409,-0.967,1.0,3.123,1675,825
TrainTicket,ts-order-other-service,CPU,9.95,10.11,7.69,0.4545,-2.525,1.0,3.356,1675,825
TrainTicket,ts-config-service,CPU,36.01,19.25,87.56,0.7271,-8.584,0.0,1.791,1675,825
TrainTicket,ts-price-service,CPU,11.0,14.8,28.44,0.1989,-2.505,1.0,1.365,1675,825
TrainTicket,ts-auth-service,CPU,22.78,23.16,4.78,3.8236,-42.036,0.0,14.377,1675,825
TrainTicket,ts-inside-payment-service,CPU,52.15,51.14,10.29,0.318,-9.261,1.0,0.616,1675,825
TrainTicket,ts-food-service,CPU,7.73,6.09,8.42,0.0881,-0.282,1.0,0.93,1675,825
TrainTicket,ts-station-service,Memory,0.9,0.94,0.88,3.0357,-5.526,1.0,267.047,1675,825
TrainTicket,ts-route-service,Memory,0.94,1.23,0.51,3.1331,-2.311,1.0,265.327,1675,825
TrainTicket,ts-ticketinfo-service,Memory,0.33,0.29,0.84,1.1109,-0.638,1.0,249.451,1675,825
TrainTicket,ts-basic-service,Memory,0.15,0.15,1.18,0.4422,-0.671,1.0,246.211,1675,825
TrainTicket,ts-train-service,Memory,0.24,0.25,0.31,0.7583,0.112,0.667,253.915,1675,825
TrainTicket,ts-travel-service,Memory,2.86,2.76,0.96,9.1243,-18.23,1.0,275.809,1675,825
TrainTicket,ts-travel2-service,Memory,0.25,0.29,0.41,0.9414,-0.724,1.0,278.844,1675,825
TrainTicket,ts-seat-service,Memory,0.4,0.42,0.25,1.1244,-1.429,1.0,243.818,1675,825
TrainTicket,ts-order-service,Memory,1.49,1.58,1.86,5.0282,0.101,1.0,284.019,1675,825
TrainTicket,ts-order-other-service,Memory,1.4,1.47,1.89,4.555,-4.094,1.0,275.401,1675,825
TrainTicket,ts-config-service,Memory,0.14,0.16,0.23,0.3889,0.058,1.0,253.891,1675,825
TrainTicket,ts-price-service,Memory,0.14,0.44,0.15,0.4066,-0.171,1.0,255.925,1675,825
TrainTicket,ts-auth-service,Memory,6.32,6.78,1.52,16.459,-169.063,1.0,245.815,1675,825
TrainTicket,ts-inside-payment-service,Memory,0.44,0.44,0.3,1.502,-2.551,1.0,248.608,1675,825
TrainTicket,ts-food-service,Memory,0.39,0.35,0.35,1.1708,-4.176,1.0,255.553,1675,825
