evaluation_protocol,risk_threshold,service,metric,unit,n_train,n_fit,n_test,wl_train,wl_test,model,mape_pct,smape_pct,rmse,nrmse,mae,r2,mape_full_res_pct,mae_full_res,rmse_full_res,r2_full_res,n_test_full_res,train_time_s
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,CPU,%,43018,2000,21189,0.0-24.9,24.9-29.6,LinearReg,1.86,1.84,0.094,0.8074,0.0849,-4.797,10.16,0.4066,0.5704,-0.022,21189,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,CPU,%,43018,2000,21189,0.0-24.9,24.9-29.6,GradBoost,0.82,0.82,0.0409,0.3517,0.0372,-0.1,10.14,0.4125,0.5644,-0.001,21189,0.08
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,CPU,%,43018,2000,21189,0.0-24.9,24.9-29.6,GaussianProcess,2.97,2.91,0.1639,1.4082,0.1361,-16.634,10.4,0.4135,0.5843,-0.073,21189,18.71
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,CPU,%,43018,2000,21189,0.0-24.9,24.9-29.6,SCM_Auto,3.7,3.63,0.1829,1.5715,0.1692,-20.959,10.52,0.4149,0.5923,-0.102,21189,2.07
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,front-end,CPU,%,43018,2000,21189,0.0-24.9,24.9-29.6,SCM_Deployed,1.67,1.64,0.0939,0.8068,0.0762,-4.789,10.16,0.4066,0.5704,-0.022,21189,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,CPU,%,43408,2000,21381,0.0-4.2,4.2-6.7,LinearReg,35.22,30.68,0.078,0.3966,0.0742,-0.467,52.78,0.1383,1.2153,-0.001,21381,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,CPU,%,43408,2000,21381,0.0-4.2,4.2-6.7,GradBoost,17.69,21.47,0.0812,0.413,0.0495,-0.591,11.48,0.0705,1.2163,-0.002,21381,0.06
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,CPU,%,43408,2000,21381,0.0-4.2,4.2-6.7,GaussianProcess,26.02,24.45,0.0676,0.3437,0.0582,-0.102,40.3,0.117,1.2149,-0.0,21381,21.73
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,CPU,%,43408,2000,21381,0.0-4.2,4.2-6.7,SCM_Auto,30.97,28.92,0.084,0.4273,0.0705,-0.703,52.78,0.1383,1.2153,-0.001,21381,1.78
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,catalogue,CPU,%,43408,2000,21381,0.0-4.2,4.2-6.7,SCM_Deployed,56.49,45.3,0.1255,0.6381,0.1174,-2.799,52.78,0.1383,1.2153,-0.001,21381,0.01
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,CPU,%,43409,2000,21381,0.0-19.1,19.1-30.1,LinearReg,13.1,12.25,0.1275,2.3535,0.1231,-48.69,20.65,0.1661,0.2078,-0.564,21381,0.0
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,CPU,%,43409,2000,21381,0.0-19.1,19.1-30.1,GradBoost,3.85,3.75,0.04,0.7378,0.0356,-3.884,16.75,0.1419,0.1701,-0.047,21381,0.09
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,CPU,%,43409,2000,21381,0.0-19.1,19.1-30.1,GaussianProcess,7.29,6.97,0.0774,1.4291,0.0687,-17.322,17.86,0.1479,0.1819,-0.197,21381,24.1
OOD_Gold_Standard (Train Low -> Test High),P80_Percentile,user,CPU,%,43409,2000,21381,0.0-19.1,19.1-30.1,SCM_Auto,1.82,1.83,0.021,0.3871,0.0172,-0.344,15.83,0.1391,0.1679,-0.021,21381,0.25
