Layer,Service,Node,Original_Value,Predicted_do_Value,Change_Pct
Tier_1_Workload_Propagation,front-end,front-end_workload,24.168,36.2519,50.0
Tier_1_Workload_Propagation,catalogue,catalogue_workload,4.0269,6.3019,56.5
Tier_1_Workload_Propagation,user,user_workload,18.1308,21.1512,16.66
Tier_1_Workload_Propagation,carts,carts_workload,8.0556,12.2209,51.71
Tier_1_Workload_Propagation,orders,orders_workload,2.0203,2.4622,21.87
Tier_1_Workload_Propagation,payment,payment_workload,2.0118,2.4053,19.56
Tier_1_Workload_Propagation,shipping,shipping_workload,2.0121,2.4094,19.75
Tier_2_Local_CPU_Impact,front-end,front-end_cpu,4.4313,5.7044,28.73
Tier_2_Local_CPU_Impact,catalogue,catalogue_cpu,0.2329,0.2702,15.99
Tier_2_Local_CPU_Impact,user,user_cpu,0.9193,0.9362,1.83
Tier_2_Local_CPU_Impact,carts,carts_cpu,2.1438,2.7685,29.14
Tier_2_Local_CPU_Impact,orders,orders_cpu,2.0315,2.8585,40.71
Tier_2_Local_CPU_Impact,payment,payment_cpu,0.0917,0.0908,-0.96
Tier_2_Local_CPU_Impact,shipping,shipping_cpu,0.6205,0.6683,7.7
