mode,shuffled,model,skill,n_train,n_test,msinstanceid
indist,False,constant,0.0,210,90,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
indist,False,base,-0.0007169104312165775,210,90,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
indist,False,+node,-0.03756800780390335,210,90,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
ood,False,constant,0.0,201,99,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
ood,False,base,-0.04320415564115576,201,99,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
ood,False,+node,-0.03702057726181551,201,99,002eec130d01a52d6887c8db0b1d256902b48abf8479a3659f558780a74d7e1b
indist,False,constant,0.0,210,90,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
indist,False,base,0.3416475946975547,210,90,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
indist,False,+node,0.3463812131913302,210,90,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
ood,False,constant,0.0,201,99,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
ood,False,base,0.5473883442309242,201,99,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
ood,False,+node,0.551798606404591,201,99,004b475d17d9ec1802840b9291e8a6b236cc083e4e3438abae8c7dc4b8a6c402
indist,False,constant,0.0,210,90,00612efe38a6dd3e146beafd7ef562b3ecb5dc6d9d0f8147f955f2342b56b70d
indist,False,base,-0.0033861500647245357,210,90,00612efe38a6dd3e146beafd7ef562b3ecb5dc6d9d0f8147f955f2342b56b70d
indist,False,+node,0.00855304821384506,210,90,00612efe38a6dd3e146beafd7ef562b3ecb5dc6d9d0f8147f955f2342b56b70d
ood,False,constant,0.0,201,99,00612efe38a6dd3e146beafd7ef562b3ecb5dc6d9d0f8147f955f2342b56b70d
ood,False,base,-0.19006638445609791,201,99,00612efe38a6dd3e146beafd7ef562b3ecb5dc6d9d0f8147f955f2342b56b70d
