variant,injection_service,delta_pct,service,cpu_change_pct,sign_inverted
OLD_no_backpressure,front-end,5,front-end,2.41,False
OLD_no_backpressure,front-end,5,catalogue,-19.73,True
OLD_no_backpressure,front-end,5,user,1.73,False
OLD_no_backpressure,front-end,5,carts,7.17,False
OLD_no_backpressure,front-end,5,orders,-2.6,True
OLD_no_backpressure,front-end,5,payment,-6.24,True
OLD_no_backpressure,front-end,5,shipping,-3.33,True
OLD_no_backpressure,front-end,20,front-end,10.47,False
OLD_no_backpressure,front-end,20,catalogue,26.89,False
OLD_no_backpressure,front-end,20,user,4.21,False
OLD_no_backpressure,front-end,20,carts,5.38,False
OLD_no_backpressure,front-end,20,orders,28.8,False
OLD_no_backpressure,front-end,20,payment,-6.32,True
OLD_no_backpressure,front-end,20,shipping,-6.08,True
OLD_no_backpressure,front-end,50,front-end,27.14,False
OLD_no_backpressure,front-end,50,catalogue,97.68,False
OLD_no_backpressure,front-end,50,user,7.64,False
OLD_no_backpressure,front-end,50,carts,28.66,False
OLD_no_backpressure,front-end,50,orders,46.11,False
OLD_no_backpressure,front-end,50,payment,-8.15,True
OLD_no_backpressure,front-end,50,shipping,-8.48,True
OLD_no_backpressure,front-end,100,front-end,52.4,False
OLD_no_backpressure,front-end,100,catalogue,240.44,False
OLD_no_backpressure,front-end,100,user,17.94,False
OLD_no_backpressure,front-end,100,carts,27.61,False
OLD_no_backpressure,front-end,100,orders,47.73,False
OLD_no_backpressure,front-end,100,payment,-4.96,True
OLD_no_backpressure,front-end,100,shipping,-0.46,True
OLD_no_backpressure,front-end,150,front-end,79.29,False
OLD_no_backpressure,front-end,150,catalogue,302.62,False
OLD_no_backpressure,front-end,150,user,28.78,False
OLD_no_backpressure,front-end,150,carts,64.31,False
OLD_no_backpressure,front-end,150,orders,73.01,False
OLD_no_backpressure,front-end,150,payment,-6.5,True
OLD_no_backpressure,front-end,150,shipping,10.65,False
OLD_no_backpressure,front-end,300,front-end,159.74,False
OLD_no_backpressure,front-end,300,catalogue,370.94,False
OLD_no_backpressure,front-end,300,user,57.83,False
OLD_no_backpressure,front-end,300,carts,115.91,False
OLD_no_backpressure,front-end,300,orders,134.03,False
OLD_no_backpressure,front-end,300,payment,-5.07,True
OLD_no_backpressure,front-end,300,shipping,11.36,False
OLD_no_backpressure,orders,5,front-end,-0.54,True
OLD_no_backpressure,orders,5,catalogue,22.47,False
OLD_no_backpressure,orders,5,user,0.33,False
OLD_no_backpressure,orders,5,carts,-2.54,True
OLD_no_backpressure,orders,5,orders,25.28,False
OLD_no_backpressure,orders,5,payment,-3.31,True
OLD_no_backpressure,orders,5,shipping,-2.91,True
OLD_no_backpressure,orders,20,front-end,1.18,False
OLD_no_backpressure,orders,20,catalogue,63.58,False
OLD_no_backpressure,orders,20,user,3.81,False
OLD_no_backpressure,orders,20,carts,4.4,False
OLD_no_backpressure,orders,20,orders,25.71,False
OLD_no_backpressure,orders,20,payment,-7.08,True
OLD_no_backpressure,orders,20,shipping,9.83,False
OLD_no_backpressure,orders,50,front-end,-1.08,True
OLD_no_backpressure,orders,50,catalogue,-23.18,True
OLD_no_backpressure,orders,50,user,7.44,False
OLD_no_backpressure,orders,50,carts,3.66,False
OLD_no_backpressure,orders,50,orders,76.77,False
OLD_no_backpressure,orders,50,payment,-5.72,True
OLD_no_backpressure,orders,50,shipping,-9.2,True
OLD_no_backpressure,orders,100,front-end,-0.12,True
OLD_no_backpressure,orders,100,catalogue,-27.12,True
OLD_no_backpressure,orders,100,user,12.64,False
OLD_no_backpressure,orders,100,carts,-3.37,True
OLD_no_backpressure,orders,100,orders,119.35,False
OLD_no_backpressure,orders,100,payment,-1.33,True
OLD_no_backpressure,orders,100,shipping,2.76,False
OLD_no_backpressure,orders,150,front-end,-1.02,True
OLD_no_backpressure,orders,150,catalogue,-22.07,True
OLD_no_backpressure,orders,150,user,20.83,False
OLD_no_backpressure,orders,150,carts,-2.99,True
OLD_no_backpressure,orders,150,orders,202.09,False
OLD_no_backpressure,orders,150,payment,-0.57,True
OLD_no_backpressure,orders,150,shipping,0.28,False
OLD_no_backpressure,orders,300,front-end,1.04,False
OLD_no_backpressure,orders,300,catalogue,-12.98,True
OLD_no_backpressure,orders,300,user,38.23,False
OLD_no_backpressure,orders,300,carts,10.3,False
OLD_no_backpressure,orders,300,orders,398.05,False
OLD_no_backpressure,orders,300,payment,6.15,False
OLD_no_backpressure,orders,300,shipping,23.58,False
NEW_with_backpressure,front-end,5,front-end,2.6,False
NEW_with_backpressure,front-end,5,catalogue,2.61,False
NEW_with_backpressure,front-end,5,user,2.42,False
NEW_with_backpressure,front-end,5,carts,-3.19,True
NEW_with_backpressure,front-end,5,orders,-14.75,True
NEW_with_backpressure,front-end,5,payment,-4.46,True
NEW_with_backpressure,front-end,5,shipping,-3.09,True
NEW_with_backpressure,front-end,20,front-end,10.54,False
NEW_with_backpressure,front-end,20,catalogue,12.68,False
NEW_with_backpressure,front-end,20,user,3.29,False
NEW_with_backpressure,front-end,20,carts,9.85,False
NEW_with_backpressure,front-end,20,orders,3.73,False
NEW_with_backpressure,front-end,20,payment,-7.87,True
NEW_with_backpressure,front-end,20,shipping,-2.25,True
NEW_with_backpressure,front-end,50,front-end,25.07,False
NEW_with_backpressure,front-end,50,catalogue,39.91,False
NEW_with_backpressure,front-end,50,user,13.05,False
NEW_with_backpressure,front-end,50,carts,19.61,False
NEW_with_backpressure,front-end,50,orders,21.16,False
NEW_with_backpressure,front-end,50,payment,-6.75,True
NEW_with_backpressure,front-end,50,shipping,8.21,False
NEW_with_backpressure,front-end,100,front-end,53.58,False
NEW_with_backpressure,front-end,100,catalogue,103.1,False
NEW_with_backpressure,front-end,100,user,29.94,False
NEW_with_backpressure,front-end,100,carts,47.03,False
NEW_with_backpressure,front-end,100,orders,52.5,False
NEW_with_backpressure,front-end,100,payment,-3.34,True
NEW_with_backpressure,front-end,100,shipping,7.6,False
NEW_with_backpressure,front-end,150,front-end,81.02,False
NEW_with_backpressure,front-end,150,catalogue,232.88,False
NEW_with_backpressure,front-end,150,user,41.27,False
NEW_with_backpressure,front-end,150,carts,63.04,False
NEW_with_backpressure,front-end,150,orders,85.89,False
NEW_with_backpressure,front-end,150,payment,-3.09,True
NEW_with_backpressure,front-end,150,shipping,24.99,False
NEW_with_backpressure,front-end,300,front-end,158.46,False
NEW_with_backpressure,front-end,300,catalogue,369.19,False
NEW_with_backpressure,front-end,300,user,84.47,False
NEW_with_backpressure,front-end,300,carts,117.56,False
NEW_with_backpressure,front-end,300,orders,133.81,False
NEW_with_backpressure,front-end,300,payment,-1.23,True
NEW_with_backpressure,front-end,300,shipping,51.58,False
NEW_with_backpressure,orders,5,front-end,-0.64,True
NEW_with_backpressure,orders,5,catalogue,37.93,False
NEW_with_backpressure,orders,5,user,2.09,False
NEW_with_backpressure,orders,5,carts,-2.32,True
NEW_with_backpressure,orders,5,orders,10.52,False
NEW_with_backpressure,orders,5,payment,-8.36,True
NEW_with_backpressure,orders,5,shipping,16.26,False
NEW_with_backpressure,orders,20,front-end,-0.4,True
NEW_with_backpressure,orders,20,catalogue,-8.62,True
NEW_with_backpressure,orders,20,user,2.64,False
NEW_with_backpressure,orders,20,carts,3.87,False
NEW_with_backpressure,orders,20,orders,25.02,False
NEW_with_backpressure,orders,20,payment,-3.33,True
