top1,top3,rank_of_true_service,n_services_ranked,top1_predicted,scenario,true_service,fault_type,run
False,False,4,22,catalogue-db,carts_cpu,carts,cpu,1
False,False,4,22,queue-master,carts_cpu,carts,cpu,2
True,True,1,22,carts,carts_cpu,carts,cpu,3
False,False,16,22,orders-db,carts_delay,carts,delay,1
False,False,6,22,rabbitmq-exporter,carts_delay,carts,delay,2
False,False,7,22,shipping,carts_delay,carts,delay,3
True,True,1,22,carts,carts_disk,carts,disk,1
False,False,5,22,orders-db,carts_disk,carts,disk,2
True,True,1,22,carts,carts_disk,carts,disk,3
False,False,4,22,orders-db,carts_loss,carts,loss,1
False,False,12,23,rabbitmq,carts_loss,carts,loss,2
False,False,14,22,user,carts_loss,carts,loss,3
True,True,1,22,carts,carts_mem,carts,mem,1
False,True,3,22,rabbitmq,carts_mem,carts,mem,2
True,True,1,22,carts,carts_mem,carts,mem,3
False,False,7,22,session-db,carts_socket,carts,socket,1
False,True,3,22,session-db,carts_socket,carts,socket,2
False,False,5,22,shipping,carts_socket,carts,socket,3
False,False,8,22,orders,catalogue_cpu,catalogue,cpu,1
False,False,4,22,session-db,catalogue_cpu,catalogue,cpu,2
False,False,4,22,carts,catalogue_cpu,catalogue,cpu,3
True,True,1,22,catalogue,catalogue_delay,catalogue,delay,1
False,False,4,22,carts-db,catalogue_delay,catalogue,delay,2
True,True,1,22,catalogue,catalogue_delay,catalogue,delay,3
True,True,1,22,catalogue,catalogue_disk,catalogue,disk,1
False,True,2,22,user-db,catalogue_disk,catalogue,disk,2
True,True,1,22,catalogue,catalogue_disk,catalogue,disk,3
False,False,6,22,payment,catalogue_loss,catalogue,loss,1
True,True,1,22,catalogue,catalogue_loss,catalogue,loss,2
False,False,4,22,front-end,catalogue_loss,catalogue,loss,3
True,True,1,22,catalogue,catalogue_mem,catalogue,mem,1
True,True,1,22,catalogue,catalogue_mem,catalogue,mem,2
False,True,3,22,carts-db,catalogue_mem,catalogue,mem,3
True,True,1,22,catalogue,catalogue_socket,catalogue,socket,1
False,False,4,22,rabbitmq-exporter,catalogue_socket,catalogue,socket,2
False,False,4,22,queue-master,catalogue_socket,catalogue,socket,3
False,False,7,22,queue-master,orders_cpu,orders,cpu,1
True,True,1,22,orders,orders_cpu,orders,cpu,2
False,False,4,22,rabbitmq-exporter,orders_cpu,orders,cpu,3
False,False,11,22,orders-db,orders_delay,orders,delay,1
False,False,6,22,payment,orders_delay,orders,delay,2
False,False,15,22,orders-db,orders_delay,orders,delay,3
False,False,6,22,carts,orders_disk,orders,disk,1
False,True,3,22,carts-db,orders_disk,orders,disk,2
True,True,1,22,orders,orders_disk,orders,disk,3
False,False,5,22,rabbitmq-exporter,orders_loss,orders,loss,1
False,False,4,22,rabbitmq-exporter,orders_loss,orders,loss,2
False,False,5,22,carts,orders_loss,orders,loss,3
False,True,2,22,payment,orders_mem,orders,mem,1
False,False,5,22,catalogue-db,orders_mem,orders,mem,2
True,True,1,22,orders,orders_mem,orders,mem,3
True,True,1,22,orders,orders_socket,orders,socket,1
True,True,1,22,orders,orders_socket,orders,socket,2
False,True,3,22,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2,orders_socket,orders,socket,3
False,False,6,22,queue-master,payment_cpu,payment,cpu,1
False,True,3,22,carts,payment_cpu,payment,cpu,2
False,True,2,22,session-db,payment_cpu,payment,cpu,3
False,False,6,22,session-db,payment_delay,payment,delay,1
False,True,3,22,rabbitmq-exporter,payment_delay,payment,delay,2
False,True,2,22,session-db,payment_delay,payment,delay,3
False,False,7,22,gke-gke-cluster-ss-default-pool-aa4d7ed2-3px7,payment_disk,payment,disk,1
True,True,1,22,payment,payment_disk,payment,disk,2
False,False,5,22,carts-db,payment_disk,payment,disk,3
False,False,5,22,session-db,payment_loss,payment,loss,1
False,True,2,22,carts,payment_loss,payment,loss,2
True,True,1,22,payment,payment_loss,payment,loss,3
False,True,2,22,orders-db,payment_mem,payment,mem,1
True,True,1,22,payment,payment_mem,payment,mem,2
True,True,1,22,payment,payment_mem,payment,mem,3
False,False,8,22,catalogue,payment_socket,payment,socket,1
False,True,2,22,catalogue-db,payment_socket,payment,socket,2
False,True,3,22,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2,payment_socket,payment,socket,3
False,False,6,22,catalogue-db,user_cpu,user,cpu,1
False,False,6,22,orders,user_cpu,user,cpu,2
False,False,7,22,catalogue,user_cpu,user,cpu,3
False,False,8,22,front-end,user_delay,user,delay,1
False,False,10,22,carts-db,user_delay,user,delay,2
False,False,4,22,session-db,user_delay,user,delay,3
False,True,2,22,session-db,user_disk,user,disk,1
False,True,3,22,payment,user_disk,user,disk,2
False,True,3,22,rabbitmq,user_disk,user,disk,3
False,True,3,22,session-db,user_loss,user,loss,1
False,False,5,22,front-end,user_loss,user,loss,2
False,False,5,22,front-end,user_loss,user,loss,3
True,True,1,22,user,user_mem,user,mem,1
False,True,3,22,rabbitmq-exporter,user_mem,user,mem,2
True,True,1,22,user,user_mem,user,mem,3
False,False,6,22,session-db,user_socket,user,socket,1
False,True,3,22,payment,user_socket,user,socket,2
False,True,2,23,gke-gke-cluster-ss-default-pool-aa4d7ed2-9gn2,user_socket,user,socket,3
