hypothesis,service,r2_baseline,r2_with_extra,corr_resid_extra,n_rows,n_runs,between_run_pct_of_var,within_run_pct_of_var,overall_corr_workload_target,mean_within_run_corr
H1_noisy_neighbor,front-end,0.084,0.097,0.107,,,,,,
H1_noisy_neighbor,catalogue,0.0,0.0,0.006,,,,,,
H1_noisy_neighbor,user,0.021,0.033,0.086,,,,,,
H1_noisy_neighbor,carts,0.002,0.006,0.051,,,,,,
H1_noisy_neighbor,orders,0.086,0.086,-0.12,,,,,,
H1_noisy_neighbor,payment,0.0,0.0,0.004,,,,,,
H1_noisy_neighbor,shipping,0.001,0.006,0.06,,,,,,
H2_smooth_win5,front-end,0.084,0.098,,,,,,,
H2_smooth_win15,front-end,0.084,0.124,,,,,,,
H2_smooth_win5,catalogue,0.0,0.0,,,,,,,
H2_smooth_win15,catalogue,0.0,0.0,,,,,,,
H2_smooth_win5,user,0.021,0.023,,,,,,,
H2_smooth_win15,user,0.021,0.023,,,,,,,
H2_smooth_win5,carts,0.002,0.002,,,,,,,
H2_smooth_win15,carts,0.002,0.002,,,,,,,
H2_smooth_win5,orders,0.086,0.087,,,,,,,
H2_smooth_win15,orders,0.086,0.09,,,,,,,
H2_smooth_win5,payment,0.0,0.0,,,,,,,
H2_smooth_win15,payment,0.0,0.0,,,,,,,
H2_smooth_win5,shipping,0.001,0.001,,,,,,,
H2_smooth_win15,shipping,0.001,0.001,,,,,,,
H3_call_chain_caller_cpu,front-end->catalogue,0.0,0.0,0.001,,,,,,
H3_call_chain_caller_cpu,front-end->carts,0.002,0.012,0.099,,,,,,
H3_call_chain_caller_cpu,front-end->user,0.021,0.062,0.198,,,,,,
H3_call_chain_caller_cpu,front-end->orders,0.086,0.097,0.111,,,,,,
H3_call_chain_caller_cpu,orders->carts,0.002,0.08,0.28,,,,,,
H3_call_chain_caller_cpu,orders->user,0.021,0.04,0.138,,,,,,
H3_call_chain_caller_cpu,orders->payment,0.0,0.0,0.003,,,,,,
H3_call_chain_caller_cpu,orders->shipping,0.001,0.151,0.387,,,,,,
run_variance_decomposition,catalogue_cpu,,,,64789.0,90.0,2.3,97.8,0.013,0.131
