split,draw,n_cell,err_P1,err_ctrl,P1_thang,ctrl_thang,hoa,acc_P1,acc_ctrl,kha_thi_gia_P1,kha_thi_gia_ctrl,n_grid
dev,0,5,9.086653306338519,7.436152395647637,0,2,3,0.9134615384615384,0.8942307692307693,9,11,104
dev,1,5,9.086653306338519,10.155370540167025,2,1,2,0.9134615384615384,0.8942307692307693,9,11,104
dev,2,5,9.086653306338519,11.037048395647638,2,2,1,0.9134615384615384,0.8942307692307693,9,11,104
dev,3,5,9.086653306338519,12.310570540167026,3,1,1,0.9134615384615384,0.8942307692307693,9,11,104
dev,4,5,9.086653306338519,11.23340530633852,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
dev,5,5,9.086653306338519,11.037048395647638,2,2,1,0.9134615384615384,0.8942307692307693,9,11,104
dev,6,5,9.086653306338519,11.23340530633852,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
dev,7,5,9.086653306338519,11.942909306338517,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
dev,8,5,9.086653306338519,12.68754930633852,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
dev,9,5,9.086653306338519,13.388605306338519,3,0,2,0.9134615384615384,0.9134615384615384,9,9,104
dev,10,5,9.086653306338519,9.591352395647636,1,2,2,0.9134615384615384,0.8942307692307693,9,11,104
dev,11,5,9.086653306338519,8.881848395647639,1,2,2,0.9134615384615384,0.8942307692307693,9,11,104
dev,12,5,9.086653306338519,8.008618540167026,0,1,4,0.9134615384615384,0.8942307692307693,9,11,104
dev,13,5,9.086653306338519,10.155370540167025,2,1,2,0.9134615384615384,0.8942307692307693,9,11,104
dev,14,5,9.086653306338519,10.155370540167025,2,1,2,0.9134615384615384,0.8942307692307693,9,11,104
dev,15,5,9.086653306338519,12.115083161819133,2,1,2,0.9134615384615384,0.9134615384615384,9,9,104
dev,16,5,9.086653306338519,12.68754930633852,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
dev,17,5,9.086653306338519,11.241853306338518,1,0,4,0.9134615384615384,0.9134615384615384,9,9,104
dev,18,5,9.086653306338519,12.115083161819133,2,1,2,0.9134615384615384,0.9134615384615384,9,9,104
dev,19,5,9.086653306338519,11.23340530633852,2,0,3,0.9134615384615384,0.9134615384615384,9,9,104
khoa,0,3,5.094024994890013,7.195735721159647,2,0,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,1,3,5.094024994890013,6.70755202852763,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,2,3,5.094024994890013,5.582208687522031,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,3,3,5.094024994890013,6.70755202852763,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,4,3,5.094024994890013,6.37753742411627,2,1,0,0.9807692307692307,0.9807692307692307,1,1,104
khoa,5,3,5.094024994890013,5.582208687522031,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,6,3,5.094024994890013,4.275826697846637,0,1,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,7,3,5.094024994890013,5.8893537314842535,1,1,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,8,3,5.094024994890013,6.37753742411627,2,1,0,0.9807692307692307,0.9807692307692307,1,1,104
khoa,9,3,5.094024994890013,6.70755202852763,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,10,3,5.094024994890013,4.764010390478655,1,1,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,11,3,5.094024994890013,5.8893537314842535,1,1,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,12,3,5.094024994890013,4.764010390478655,1,1,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,13,3,5.094024994890013,5.582208687522031,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,14,3,5.094024994890013,7.195735721159647,2,0,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,15,3,5.094024994890013,6.37753742411627,2,1,0,0.9807692307692307,0.9807692307692307,1,1,104
khoa,16,3,5.094024994890013,7.195735721159647,2,0,1,0.9807692307692307,0.9807692307692307,1,1,104
khoa,17,3,5.094024994890013,5.582208687522031,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,18,3,5.094024994890013,6.70755202852763,1,0,2,0.9807692307692307,0.9807692307692307,1,1,104
khoa,19,3,5.094024994890013,5.8893537314842535,1,1,1,0.9807692307692307,0.9807692307692307,1,1,104
doc_lap,0,7,7.4296662688824044,8.310440253803609,2,0,5,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,1,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,2,7,7.4296662688824044,8.018410866048509,2,0,5,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,3,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,4,7,7.4296662688824044,7.90157973827016,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,5,7,7.4296662688824044,7.90157973827016,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,6,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,7,7,7.4296662688824044,8.193609126025262,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,8,7,7.4296662688824044,7.90157973827016,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,9,7,7.4296662688824044,7.546497396660753,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,10,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,11,7,7.4296662688824044,8.193609126025262,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,12,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,13,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,14,7,7.4296662688824044,7.90157973827016,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,15,7,7.4296662688824044,8.018410866048509,2,0,5,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,16,7,7.4296662688824044,7.90157973827016,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,17,7,7.4296662688824044,8.665522595413018,2,0,5,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,18,7,7.4296662688824044,8.782353723191365,3,0,4,0.7307692307692307,0.7307692307692307,35,35,130
doc_lap,19,7,7.4296662688824044,7.546497396660753,1,0,6,0.7307692307692307,0.7307692307692307,35,35,130
tien_cuu,0,1,0.4992129231141298,0.4992129231141298,0,0,1,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,1,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,2,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,3,1,0.4992129231141298,1.5171699941962244,1,0,0,0.8846153846153846,0.8846153846153846,0,0,26
tien_cuu,4,1,0.4992129231141298,0.4992129231141298,0,0,1,0.8846153846153846,0.8846153846153846,0,0,26
