system,service,n,mape_model_OOD,mape_model_indist,mape_floor_indist,gap_model_minus_floor
SockShop,carts,6000,58.33,48.36,48.17,0.19
SockShop,user,6000,16.04,17.9,17.77,0.13
SockShop,front-end,6000,10.45,10.24,10.16,0.08
SockShop,shipping,6000,67.82,77.39,77.57,-0.18
SockShop,payment,6000,16.49,12.9,13.94,-1.03
SockShop,orders,6000,60.84,67.32,68.37,-1.05
SockShop,catalogue,6000,60.06,22.84,27.35,-4.51
TrainTicket,ts-seat-service,6000,57.47,124.57,48.51,76.06
TrainTicket,ts-order-service,6000,82.91,87.25,71.74,15.51
TrainTicket,ts-order-other-service,6000,51.87,65.56,55.55,10.0
TrainTicket,ts-config-service,6000,81.93,69.64,60.97,8.67
TrainTicket,ts-ticketinfo-service,6000,46.04,37.16,31.66,5.5
TrainTicket,ts-travel-service,6000,75.18,63.89,58.59,5.31
TrainTicket,ts-station-service,6000,42.97,39.33,34.05,5.28
TrainTicket,ts-basic-service,6000,45.13,37.08,31.86,5.22
TrainTicket,ts-price-service,6000,99.0,85.84,80.64,5.2
TrainTicket,ts-travel2-service,6000,47.85,39.36,34.97,4.39
TrainTicket,ts-route-service,6000,44.91,38.57,35.38,3.18
TrainTicket,ts-train-service,6000,53.53,44.87,42.08,2.78
TrainTicket,ts-contacts-service,6000,111.8,97.57,95.69,1.89
TrainTicket,ts-admin-basic-info-service,6000,70.44,73.04,72.77,0.26
TrainTicket,ts-assurance-service,6000,82.78,83.3,83.09,0.21
TrainTicket,ts-auth-service,6000,10.52,10.43,10.23,0.2
TrainTicket,ts-food-service,6000,77.42,78.22,78.23,-0.0
TrainTicket,ts-ui-dashboard,6000,9.5,9.53,9.53,0.0
TrainTicket,ts-consign-service,6000,69.85,65.03,65.08,-0.05
TrainTicket,ts-user-service,6000,95.68,87.16,87.21,-0.05
TrainTicket,ts-consign-price-service,6000,66.96,71.67,71.73,-0.07
TrainTicket,ts-admin-travel-service,6000,75.6,71.99,72.08,-0.08
TrainTicket,ts-preserve-service,6000,97.88,99.11,99.22,-0.12
TrainTicket,ts-food-map-service,6000,82.05,90.94,91.18,-0.23
TrainTicket,ts-security-service,6000,87.76,85.74,86.0,-0.27
TrainTicket,ts-inside-payment-service,6000,109.33,97.09,97.45,-0.36
TrainTicket,ts-payment-service,6000,90.72,67.97,68.95,-0.98
TrainTicket,ts-preserve-other-service,6000,99.69,115.5,119.02,-3.52
