scenario,intervention,ood_confidence,ood_ratio,node,baseline,predicted,change_pct,anomaly_score,shapley_contribution,risk_level,total_anomaly,runtime_s,n_caveats
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,catalogue_cpu,0.2329484120105537,0.30756860193888247,32.03,4.3056,0.5826,critical,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,payment_cpu,0.09165532557789872,0.08616757943364317,-5.99,0.009,0.491,normal,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,user_cpu,0.9193030761395578,0.9187367054033405,-0.06,0.0758,0.4351,normal,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,front-end_cpu,4.431304495363065,4.405355066542336,-0.59,0.1683,0.3553,normal,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,orders_cpu,2.031471518425796,2.054210373440161,1.12,0.6535,0.0439,normal,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,shipping_cpu,0.6205201157605336,0.6243907644801536,0.62,0.7231,0.0399,normal,6.62,1.48,1
Baseline: Tải bình thường (+0%),{'front-end_workload': np.float64(24.167951768893932)},high,0.816,carts_cpu,2.1437801186673773,1.950998187016423,-8.99,0.6847,0.0169,normal,6.62,1.48,1
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,catalogue_cpu,0.2329484120105537,0.43144541901776606,85.21,3.8878,0.4951,critical,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,front-end_cpu,4.431304495363065,4.890250593926885,10.36,0.0833,0.4908,normal,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,payment_cpu,0.09165532557789872,0.08752316790028132,-4.51,0.1198,0.4399,normal,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,user_cpu,0.9193030761395578,0.9596886887485184,4.39,0.0377,0.3658,normal,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,carts_cpu,2.1437801186673773,2.3208002936034298,8.26,0.8958,0.1103,normal,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,orders_cpu,2.031471518425796,2.3548424839360536,15.92,0.6612,0.0792,warning,6.341,0.33,2
Tính năng mới: Promo Code (+20%),{'front-end_workload': np.float64(29.001542122672717)},low,0.98,shipping_cpu,0.6205201157605336,0.6158841631214416,-0.75,0.6554,0.0537,normal,6.341,0.33,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,front-end_cpu,4.431304495363065,5.565452607476642,25.59,0.2419,0.6924,warning,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,catalogue_cpu,0.2329484120105537,0.3341987744585389,43.46,0.3973,0.6445,critical,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,payment_cpu,0.09165532557789872,0.08767448847506347,-4.34,0.0768,0.4335,normal,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,user_cpu,0.9193030761395578,1.0095819003562796,9.82,0.0747,0.4075,normal,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,orders_cpu,2.031471518425796,2.7149007223880135,33.64,0.7067,0.1756,critical,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,carts_cpu,2.1437801186673773,2.563724512058211,19.59,0.8091,0.1345,warning,3.0462,0.26,2
Sự kiện: Sale Cuối Tuần (+50%),{'front-end_workload': np.float64(36.2519276533409)},low,1.225,shipping_cpu,0.6205201157605336,0.6495090915331372,4.67,0.7397,0.0465,normal,3.0462,0.26,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,front-end_cpu,4.431304495363065,7.979828593790295,80.08,0.0779,0.7965,critical,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,user_cpu,0.9193030761395578,1.1745018710405015,27.76,0.0855,0.7029,warning,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,catalogue_cpu,0.2329484120105537,0.6162032997408323,164.52,0.0534,0.6853,critical,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,payment_cpu,0.09165532557789872,0.08707718323454787,-4.99,0.0608,0.4471,normal,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,orders_cpu,2.031471518425796,3.5421026500217914,74.36,0.6139,0.2425,critical,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,carts_cpu,2.1437801186673773,3.571523670011778,66.6,0.8812,0.2368,critical,2.4876,0.25,2
Sự kiện: Flash Sale (+150%),{'front-end_workload': np.float64(60.41987942223483)},very_low,2.041,shipping_cpu,0.6205201157605336,0.6386382170418105,2.92,0.7149,0.0602,normal,2.4876,0.25,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,user_cpu,0.9193030761395578,1.4400292066601512,56.64,0.0725,0.932,critical,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,front-end_cpu,4.431304495363065,11.441633473740241,158.2,0.2782,0.7809,critical,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,catalogue_cpu,0.2329484120105537,1.1441796859456355,391.17,3.9378,0.4994,critical,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,orders_cpu,2.031471518425796,4.863199999418417,139.39,0.5105,0.4842,critical,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,carts_cpu,2.1437801186673773,4.924705386906286,129.72,1.0152,0.3899,critical,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,payment_cpu,0.09165532557789872,0.0918294447820767,0.19,0.1142,0.3513,normal,6.5896,0.27,2
Sự kiện: Black Friday (+300%),{'front-end_workload': np.float64(96.67180707557573)},very_low,3.266,shipping_cpu,0.6205201157605336,0.6612765616174452,6.57,0.6612,0.0523,normal,6.5896,0.27,2
