label,delta_pct,node,tier,projected_mean,train_p95,train_max,ood_confidence
SockShop,5,catalogue_workload,tier1,4.263269919276165,4.667,5.933,high
SockShop,5,carts_workload,tier1,8.58345331145088,9.667,13.733,high
SockShop,5,user_workload,tier1,18.90780856638598,21.8,30.067,high
SockShop,5,orders_workload,tier1,2.093551068438552,2.667,15.067,high
SockShop,5,payment_workload,tier1,2.0889950634327867,2.667,3.733,high
SockShop,5,shipping_workload,tier1,2.0800203784346656,2.667,4.0,high
SockShop,5,front-end_cpu,tier2,4.542080322842157,5.168494277294224,6.883132899533267,high
SockShop,5,front-end_mem,tier2,104909277.86666666,110325760.0,358322176.0,high
SockShop,5,front-end_latency-50,tier2,0.03079801544773628,0.0440425531914893,0.0583941605839415,high
SockShop,5,catalogue_cpu,tier2,0.38950215413300393,0.2086698079014107,49.028625708884505,low
SockShop,5,catalogue_mem,tier2,6171238.4,6524928.0,329572352.0,high
SockShop,5,catalogue_latency-50,tier2,0.003073248234784958,0.0031428571428571,0.14601266373267,high
SockShop,5,user_cpu,tier2,0.9247351848121197,1.154028797755648,1.6543799486507298,high
SockShop,5,user_mem,tier2,8160925.013333334,9162752.0,14548992.0,high
SockShop,5,user_latency-50,tier2,0.00417008635936204,0.0056605922551252,0.0175,high
SockShop,5,carts_cpu,tier2,2.286870400350244,5.5648055996062755,48.76569806376475,high
SockShop,5,carts_mem,tier2,214829015.04,222748672.0,432041984.0,high
SockShop,5,carts_latency-50,tier2,0.1578823851461327,1.1874999999999998,5.5,high
SockShop,5,orders_cpu,tier2,2.177151665663916,5.602826944199368,80.04373168689828,high
SockShop,5,orders_mem,tier2,331496856.51424843,336138240.0,656744448.0,high
SockShop,5,orders_latency-50,tier2,0.07104007657960011,0.5000000000000001,2.125,high
SockShop,5,payment_cpu,tier2,0.08515144514884913,0.1010122448979587,19.838419782870968,high
SockShop,5,payment_mem,tier2,4569060.693333333,5140480.0,7991296.0,high
SockShop,5,payment_latency-50,tier2,0.0023922012683259006,0.0028095238095238,0.005,high
SockShop,5,shipping_cpu,tier2,0.7048462253857246,1.788315640825861,13.558962604157635,high
SockShop,5,shipping_mem,tier2,303746321.06666666,307023872.0,604696576.0,high
SockShop,5,shipping_latency-50,tier2,0.0034021398565699133,0.004960949764521125,2.5,high
SockShop,10,catalogue_workload,tier1,4.476370285644952,4.667,5.933,high
SockShop,10,carts_workload,tier1,8.940333693684451,9.667,13.733,high
SockShop,10,user_workload,tier1,19.240767795955374,21.8,30.067,high
SockShop,10,orders_workload,tier1,2.062559577291942,2.667,15.067,high
SockShop,10,payment_workload,tier1,2.044190320373191,2.667,3.733,high
SockShop,10,shipping_workload,tier1,2.0636113271257543,2.667,4.0,high
SockShop,10,front-end_cpu,tier2,4.656471922043474,5.168494277294224,6.883132899533267,high
SockShop,10,front-end_mem,tier2,104996345.17333333,110325760.0,358322176.0,high
SockShop,10,front-end_latency-50,tier2,0.03028498542433391,0.0440425531914893,0.0583941605839415,high
SockShop,10,catalogue_cpu,tier2,0.27971560510370436,0.2086698079014107,49.028625708884505,low
SockShop,10,catalogue_mem,tier2,6157421.226666667,6524928.0,329572352.0,high
SockShop,10,catalogue_latency-50,tier2,0.003055872032990169,0.0031428571428571,0.14601266373267,high
SockShop,10,user_cpu,tier2,0.9492886998167023,1.154028797755648,1.6543799486507298,high
SockShop,10,user_mem,tier2,8056067.413333333,9162752.0,14548992.0,high
SockShop,10,user_latency-50,tier2,0.004205269220901046,0.0056605922551252,0.0175,high
SockShop,10,carts_cpu,tier2,2.171518577742059,5.5648055996062755,48.76569806376475,high
SockShop,10,carts_mem,tier2,213424988.16,222748672.0,432041984.0,high
SockShop,10,carts_latency-50,tier2,0.09375359336496777,1.1874999999999998,5.5,high
SockShop,10,orders_cpu,tier2,2.2541308237349025,5.602826944199368,80.04373168689828,high
SockShop,10,orders_mem,tier2,328725055.3630133,336138240.0,656744448.0,high
SockShop,10,orders_latency-50,tier2,0.0908363373239431,0.5000000000000001,2.125,high
SockShop,10,payment_cpu,tier2,0.08630843240217753,0.1010122448979587,19.838419782870968,high
SockShop,10,payment_mem,tier2,4582577.493333333,5140480.0,7991296.0,high
SockShop,10,payment_latency-50,tier2,0.0023821429184832047,0.0028095238095238,0.005,high
SockShop,10,shipping_cpu,tier2,0.6718261186186057,1.788315640825861,13.558962604157635,high
SockShop,10,shipping_mem,tier2,303710890.6666667,307023872.0,604696576.0,high
SockShop,10,shipping_latency-50,tier2,0.003343415936473705,0.004960949764521125,2.5,high
SockShop,15,catalogue_workload,tier1,4.706899338866354,4.667,5.933,low
SockShop,15,carts_workload,tier1,9.35599814311404,9.667,13.733,medium
SockShop,15,user_workload,tier1,19.885200746269977,21.8,30.067,high
SockShop,15,orders_workload,tier1,2.1052179148689714,2.667,15.067,high
SockShop,15,payment_workload,tier1,2.1006697879134633,2.667,3.733,high
SockShop,15,shipping_workload,tier1,2.1111980718161645,2.667,4.0,high
SockShop,15,front-end_cpu,tier2,4.824733943600273,5.168494277294224,6.883132899533267,high
SockShop,15,front-end_mem,tier2,106701892.26666667,110325760.0,358322176.0,high
SockShop,15,front-end_latency-50,tier2,0.03097918398169534,0.0440425531914893,0.0583941605839415,high
SockShop,15,catalogue_cpu,tier2,0.31330994851252597,0.2086698079014107,49.028625708884505,low
SockShop,15,catalogue_mem,tier2,6207269.546666667,6524928.0,329572352.0,high
SockShop,15,catalogue_latency-50,tier2,0.0030539698098743474,0.0031428571428571,0.14601266373267,high
SockShop,15,user_cpu,tier2,0.926468302801414,1.154028797755648,1.6543799486507298,high
SockShop,15,user_mem,tier2,8113206.613333333,9162752.0,14548992.0,high
SockShop,15,user_latency-50,tier2,0.004270896312766603,0.0056605922551252,0.0175,high
SockShop,15,carts_cpu,tier2,2.3919914768912327,5.5648055996062755,48.76569806376475,high
SockShop,15,carts_mem,tier2,211822318.93333334,222748672.0,432041984.0,high
SockShop,15,carts_latency-50,tier2,0.034176077152551575,1.1874999999999998,5.5,high
SockShop,15,orders_cpu,tier2,2.0642837081942655,5.602826944199368,80.04373168689828,high
SockShop,15,orders_mem,tier2,330195969.88340616,336138240.0,656744448.0,high
SockShop,15,orders_latency-50,tier2,0.07456868958868085,0.5000000000000001,2.125,high
SockShop,15,payment_cpu,tier2,0.08550710434788442,0.1010122448979587,19.838419782870968,high
SockShop,15,payment_mem,tier2,4583096.32,5140480.0,7991296.0,high
SockShop,15,payment_latency-50,tier2,0.002377102601315389,0.0028095238095238,0.005,high
SockShop,15,shipping_cpu,tier2,0.6317626903798162,1.788315640825861,13.558962604157635,high
SockShop,15,shipping_mem,tier2,302783105.70666665,307023872.0,604696576.0,high
SockShop,15,shipping_latency-50,tier2,0.0033051692539928603,0.004960949764521125,2.5,high
SockShop,20,catalogue_workload,tier1,4.933312342393233,4.667,5.933,low
SockShop,20,carts_workload,tier1,9.743310215796464,9.667,13.733,low
SockShop,20,user_workload,tier1,20.613491285842375,21.8,30.067,high
SockShop,20,orders_workload,tier1,2.1562543308976476,2.667,15.067,high
SockShop,20,payment_workload,tier1,2.1266876415361655,2.667,3.733,high
SockShop,20,shipping_workload,tier1,2.1141021094853585,2.667,4.0,high
SockShop,20,front-end_cpu,tier2,4.91013257269731,5.168494277294224,6.883132899533267,high
SockShop,20,front-end_mem,tier2,105623797.76,110325760.0,358322176.0,high
SockShop,20,front-end_latency-50,tier2,0.032896182300714,0.0440425531914893,0.0583941605839415,high
SockShop,20,catalogue_cpu,tier2,0.31101967982673223,0.2086698079014107,49.028625708884505,low
