label,delta_pct,high,low,medium
SockShop,5,96.3,3.7,0.0
SockShop,10,96.3,3.7,0.0
SockShop,15,88.89,7.41,3.7
SockShop,20,88.89,11.11,0.0
SockShop,25,85.19,11.11,3.7
SockShop,30,81.48,11.11,7.41
SockShop,35,77.78,22.22,0.0
SockShop,40,70.37,22.22,7.41
SockShop,45,74.07,22.22,3.7
SockShop,50,74.07,22.22,3.7
TrainTicket,5,99.1,0.9,0.0
TrainTicket,10,100.0,0.0,0.0
TrainTicket,15,100.0,0.0,0.0
TrainTicket,20,100.0,0.0,0.0
TrainTicket,25,99.1,0.9,0.0
TrainTicket,30,100.0,0.0,0.0
TrainTicket,35,99.1,0.0,0.9
TrainTicket,40,100.0,0.0,0.0
TrainTicket,45,99.1,0.9,0.0
TrainTicket,50,100.0,0.0,0.0
