prompt_id,repeat_id,category,delta_pct,n_flagged_raw,n_flagged_excl_injection,n_flagged_excl_injection_and_catalogue
REQ-01,1,In_Distribution,20.0,5,4,3
REQ-02,1,In_Distribution,10.0,2,1,1
REQ-03,1,In_Distribution,15.0,4,3,2
REQ-04,1,In_Distribution,10.0,2,1,0
REQ-05,1,In_Distribution,15.0,4,3,2
REQ-06,1,In_Distribution,10.0,3,2,1
REQ-07,1,In_Distribution,10.0,3,2,1
REQ-08,1,In_Distribution,10.0,2,1,0
REQ-09,1,In_Distribution,10.0,3,2,1
REQ-10,1,In_Distribution,25.0,5,4,3
REQ-11,1,In_Distribution,20.0,5,4,3
REQ-12,1,In_Distribution,15.0,4,3,2
REQ-13,1,In_Distribution,15.0,5,4,3
REQ-14,1,In_Distribution,10.0,3,2,1
REQ-15,1,In_Distribution,15.0,4,3,2
REQ-16,1,In_Distribution,15.0,5,4,3
REQ-17,1,In_Distribution,10.0,3,2,1
REQ-18,1,In_Distribution,10.0,2,1,0
REQ-19,1,In_Distribution,10.0,2,1,0
REQ-20,1,In_Distribution,25.0,6,5,4
REQ-21,1,Complex_MultiHop,25.0,5,4,3
REQ-22,1,Complex_MultiHop,25.0,5,4,3
REQ-23,1,Complex_MultiHop,25.0,7,6,5
REQ-24,1,Complex_MultiHop,20.0,4,3,2
REQ-25,1,Complex_MultiHop,10.0,2,1,0
REQ-26,1,Complex_MultiHop,25.0,5,4,3
REQ-27,1,Complex_MultiHop,25.0,5,4,3
REQ-28,1,Complex_MultiHop,15.0,4,3,2
REQ-29,1,Complex_MultiHop,20.0,4,3,2
REQ-30,1,Complex_MultiHop,25.0,5,4,3
REQ-31,1,Subtle_ReadOnly,10.0,2,1,0
REQ-32,1,Subtle_ReadOnly,10.0,3,2,1
REQ-33,1,Subtle_ReadOnly,25.0,5,4,3
REQ-34,1,Subtle_ReadOnly,10.0,2,1,0
REQ-35,1,Subtle_ReadOnly,10.0,3,2,1
REQ-36,1,Subtle_ReadOnly,10.0,2,1,0
REQ-37,1,Subtle_ReadOnly,10.0,4,3,2
REQ-38,1,Subtle_ReadOnly,10.0,4,3,2
REQ-39,1,Subtle_ReadOnly,10.0,3,2,1
REQ-40,1,Subtle_ReadOnly,10.0,2,1,0
REQ-41,1,Adversarial_Stress,25.0,7,6,5
REQ-42,1,Adversarial_Stress,25.0,5,4,3
REQ-43,1,Adversarial_Stress,25.0,5,4,3
REQ-44,1,Adversarial_Stress,25.0,5,4,3
REQ-45,1,Adversarial_Stress,20.0,4,3,2
REQ-46,1,Adversarial_Stress,10.0,2,1,0
REQ-47,1,Adversarial_Stress,10.0,1,0,0
REQ-48,1,Adversarial_Stress,10.0,3,2,1
REQ-49,1,Adversarial_Stress,10.0,2,1,0
REQ-50,1,Adversarial_Stress,10.0,2,1,0
REQ-01,2,In_Distribution,20.0,4,3,2
REQ-02,2,In_Distribution,10.0,3,2,1
REQ-03,2,In_Distribution,15.0,5,4,3
REQ-04,2,In_Distribution,10.0,3,2,1
REQ-05,2,In_Distribution,15.0,4,3,2
REQ-06,2,In_Distribution,10.0,2,1,0
REQ-07,2,In_Distribution,10.0,2,1,0
REQ-08,2,In_Distribution,10.0,3,2,1
REQ-09,2,In_Distribution,10.0,2,1,0
REQ-10,2,In_Distribution,25.0,5,4,3
REQ-11,2,In_Distribution,20.0,4,3,2
REQ-12,2,In_Distribution,15.0,4,3,2
REQ-13,2,In_Distribution,15.0,4,3,2
REQ-14,2,In_Distribution,10.0,2,1,0
REQ-15,2,In_Distribution,15.0,4,3,2
REQ-16,2,In_Distribution,15.0,4,3,2
REQ-17,2,In_Distribution,10.0,2,1,0
REQ-18,2,In_Distribution,10.0,3,2,1
REQ-19,2,In_Distribution,10.0,2,1,0
REQ-20,2,In_Distribution,25.0,5,4,3
REQ-21,2,Complex_MultiHop,25.0,5,4,3
REQ-22,2,Complex_MultiHop,25.0,5,4,3
REQ-23,2,Complex_MultiHop,25.0,5,4,3
