prompt_id,repeat_id,category,injection_service,delta_pct,ood_confidence,n_flagged_nodes,flagged_nodes
REQ-01,1,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-02,1,In_Distribution,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-03,1,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-04,1,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-05,1,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; orders_latency-50
REQ-06,1,In_Distribution,front-end,10.0,low,2,catalogue_cpu; orders_mem
REQ-07,1,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-08,1,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-09,1,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-10,1,In_Distribution,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-11,1,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-12,1,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-13,1,In_Distribution,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; shipping_latency-50
REQ-14,1,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-15,1,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-16,1,In_Distribution,front-end,15.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-17,1,In_Distribution,front-end,10.0,low,1,catalogue_cpu
REQ-18,1,In_Distribution,front-end,10.0,medium,2,catalogue_cpu; orders_latency-50
REQ-19,1,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
REQ-20,1,In_Distribution,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-21,1,Complex_MultiHop,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; orders_latency-50
REQ-22,1,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-23,1,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-24,1,Complex_MultiHop,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-25,1,Complex_MultiHop,front-end,10.0,low,1,catalogue_cpu
REQ-26,1,Complex_MultiHop,front-end,25.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; user_workload; shipping_latency-50
REQ-27,1,Complex_MultiHop,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-28,1,Complex_MultiHop,front-end,15.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; shipping_latency-50
REQ-29,1,Complex_MultiHop,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-30,1,Complex_MultiHop,front-end,25.0,low,5,catalogue_workload; front-end_cpu; catalogue_cpu; carts_workload; user_workload
REQ-31,1,Subtle_ReadOnly,front-end,10.0,medium,1,orders_latency-50
REQ-32,1,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-33,1,Subtle_ReadOnly,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-34,1,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-35,1,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-36,1,Subtle_ReadOnly,front-end,10.0,medium,1,catalogue_cpu
REQ-37,1,Subtle_ReadOnly,front-end,10.0,low,2,catalogue_cpu; orders_latency-50
REQ-38,1,Subtle_ReadOnly,front-end,10.0,medium,1,catalogue_cpu
REQ-39,1,Subtle_ReadOnly,front-end,10.0,medium,1,catalogue_cpu
REQ-40,1,Subtle_ReadOnly,front-end,10.0,low,1,catalogue_cpu
REQ-41,1,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-42,1,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-43,1,Adversarial_Stress,front-end,25.0,low,6,catalogue_workload; front-end_cpu; catalogue_cpu; carts_workload; user_workload; orders_latency-50
REQ-44,1,Adversarial_Stress,front-end,25.0,low,4,catalogue_workload; catalogue_cpu; carts_workload; user_workload
REQ-45,1,Adversarial_Stress,front-end,20.0,low,5,catalogue_workload; catalogue_cpu; carts_workload; orders_mem; orders_latency-50
REQ-46,1,Adversarial_Stress,front-end,10.0,low,2,front-end_mem; catalogue_cpu
REQ-47,1,Adversarial_Stress,front-end,10.0,low,1,catalogue_cpu
REQ-48,1,Adversarial_Stress,front-end,10.0,medium,1,catalogue_cpu
REQ-49,1,Adversarial_Stress,front-end,10.0,medium,2,catalogue_cpu; orders_latency-50
REQ-50,1,Adversarial_Stress,front-end,10.0,medium,3,catalogue_cpu; orders_latency-50; shipping_latency-50
REQ-01,2,In_Distribution,front-end,20.0,low,3,catalogue_workload; catalogue_cpu; carts_workload
REQ-02,2,In_Distribution,front-end,10.0,medium,1,catalogue_cpu
