guard_varied,variant,min_delta,max_delta,max_adj,sim_thresh,PBVR_pct,SHR_pct,anchor_MAE,n
G2,"[3,60]",3.0,60.0,10.0,0.6,0.0,0.0,1.2,50
G2,"[5,50]",5.0,50.0,10.0,0.6,0.0,0.0,1.2,50
G2,"[8,40]",8.0,40.0,10.0,0.6,0.0,0.0,1.2,50
G2,"[10,30]",10.0,30.0,10.0,0.6,0.0,0.0,1.2,50
G2,"[1,100]",1.0,100.0,10.0,0.6,0.0,0.0,1.2,50
G3,+/-5.0,5.0,50.0,5.0,0.6,0.0,0.0,1.2,50
G3,+/-10.0,5.0,50.0,10.0,0.6,0.0,0.0,1.2,50
G3,+/-15.0,5.0,50.0,15.0,0.6,0.0,0.0,1.2,50
G3,+/-20.0,5.0,50.0,20.0,0.6,0.0,0.0,1.2,50
G3,+/-30.0,5.0,50.0,30.0,0.6,0.0,0.0,1.2,50
G5,>=0.3,5.0,50.0,10.0,0.3,0.0,0.0,1.2,50
G5,>=0.4,5.0,50.0,10.0,0.4,0.0,0.0,1.2,50
G5,>=0.5,5.0,50.0,10.0,0.5,0.0,0.0,1.2,50
G5,>=0.6,5.0,50.0,10.0,0.6,0.0,0.0,1.2,50
G5,>=0.7,5.0,50.0,10.0,0.7,0.0,0.0,1.2,50
G5,>=0.8,5.0,50.0,10.0,0.8,0.0,0.0,1.2,50
