system,node,metric_type,baseline_test_mape,chosen_extra_parent,final_test_mape,n_candidates_tried
trainticket,ts-admin-basic-info-service_cpu,cpu,9.92,ts-ui-dashboard_cpu,9.83,1
trainticket,ts-admin-basic-info-service_latency-50,latency,0.75,ts-price-service_latency-50,1.88,2
trainticket,ts-assurance-service_cpu,cpu,2.97,(none),2.97,2
trainticket,ts-assurance-service_latency-50,latency,8.98,(none),8.98,0
trainticket,ts-auth-service_cpu,cpu,5.49,(none),5.49,0
trainticket,ts-auth-service_latency-50,latency,1.47,(none),1.47,0
trainticket,ts-basic-service_cpu,cpu,36.07,ts-ticketinfo-service_cpu,3.66,1
trainticket,ts-basic-service_latency-50,latency,17.39,ts-station-service_latency-50,12.36,4
trainticket,ts-config-service_cpu,cpu,40.18,ts-seat-service_cpu,7.31,2
trainticket,ts-config-service_latency-50,latency,29.83,(none),29.83,0
trainticket,ts-consign-price-service_cpu,cpu,3.41,(none),3.41,1
trainticket,ts-consign-price-service_latency-50,latency,27.83,(none),27.83,0
trainticket,ts-consign-service_cpu,cpu,20.4,ts-ui-dashboard_cpu,15.98,1
trainticket,ts-consign-service_latency-50,latency,15.07,ts-consign-price-service_latency-50,4.86,1
trainticket,ts-contacts-service_cpu,cpu,35.35,ts-preserve-other-service_cpu,22.18,3
trainticket,ts-contacts-service_latency-50,latency,16.8,(none),16.8,0
trainticket,ts-food-map-service_cpu,cpu,2.64,ts-food-service_cpu,3.81,1
trainticket,ts-food-map-service_latency-50,latency,3.28,(none),3.28,0
trainticket,ts-food-service_cpu,cpu,4.58,ts-preserve-other-service_cpu,3.04,3
trainticket,ts-food-service_latency-50,latency,10.29,ts-food-map-service_latency-50,7.17,3
trainticket,ts-inside-payment-service_cpu,cpu,4.27,ts-ui-dashboard_cpu,10.99,1
trainticket,ts-inside-payment-service_latency-50,latency,17.82,ts-order-other-service_latency-50,13.12,3
trainticket,ts-order-other-service_cpu,cpu,33.25,ts-seat-service_cpu,3.43,6
trainticket,ts-order-other-service_latency-50,latency,51.48,(none),51.48,1
trainticket,ts-order-service_cpu,cpu,39.76,ts-seat-service_cpu,6.24,6
trainticket,ts-order-service_latency-50,latency,118.05,(none),118.05,1
trainticket,ts-payment-service_cpu,cpu,89.36,(none),89.36,1
trainticket,ts-preserve-other-service_cpu,cpu,14.05,(none),14.05,1
trainticket,ts-preserve-other-service_latency-50,latency,6.12,ts-ticketinfo-service_latency-50,4.95,10
trainticket,ts-preserve-service_cpu,cpu,30.87,ts-ui-dashboard_cpu,21.41,1
trainticket,ts-preserve-service_latency-50,latency,4.95,ts-travel-service_latency-50,2.46,10
trainticket,ts-price-service_cpu,cpu,30.67,ts-basic-service_cpu,7.82,2
trainticket,ts-price-service_latency-50,latency,16.11,(none),16.11,0
trainticket,ts-route-service_cpu,cpu,32.55,ts-travel2-service_cpu,2.21,3
trainticket,ts-route-service_latency-50,latency,14.79,(none),14.79,0
trainticket,ts-seat-service_cpu,cpu,34.61,ts-travel2-service_cpu,5.44,4
trainticket,ts-seat-service_latency-50,latency,16.23,ts-config-service_latency-50,2.36,3
trainticket,ts-security-service_cpu,cpu,23.18,ts-preserve-other-service_cpu,13.55,2
trainticket,ts-security-service_latency-50,latency,23.3,ts-order-service_latency-50,22.71,2
trainticket,ts-station-service_cpu,cpu,30.14,ts-basic-service_cpu,16.22,6
trainticket,ts-station-service_latency-50,latency,6.26,(none),6.26,0
trainticket,ts-ticketinfo-service_cpu,cpu,38.32,ts-travel2-service_cpu,7.78,4
trainticket,ts-ticketinfo-service_latency-50,latency,11.83,ts-basic-service_latency-50,0.49,1
trainticket,ts-train-service_cpu,cpu,32.87,ts-travel2-service_cpu,2.68,3
trainticket,ts-train-service_latency-50,latency,6.19,(none),6.19,0
trainticket,ts-travel-service_cpu,cpu,28.89,ts-preserve-service_cpu,9.78,4
trainticket,ts-travel-service_latency-50,latency,45.12,ts-seat-service_latency-50,2.08,5
trainticket,ts-travel2-service_cpu,cpu,32.96,(none),32.96,3
trainticket,ts-travel2-service_latency-50,latency,46.8,ts-seat-service_latency-50,3.92,5
trainticket,ts-ui-dashboard_cpu,cpu,2.31,(none),2.31,0
trainticket,ts-ui-dashboard_latency-50,latency,2.37,ts-preserve-service_latency-50,1.18,13
trainticket,ts-user-service_cpu,cpu,36.94,ts-preserve-other-service_cpu,26.88,3
trainticket,ts-user-service_latency-50,latency,76.23,(none),76.23,0
