service,metric,n,mean_abs_pct_error,median_abs_pct_error,p90_abs_pct_error
carts,CPU,19524,34.003,13.465,98.963
carts,Latency_p50,19261,11.103,4.784,24.828
carts,Memory,19530,1.374,0.161,2.172
catalogue,CPU,19524,69.958,6.24,56.107
catalogue,Latency_p50,19282,1.039,0.71,1.891
catalogue,Memory,19530,2.88,0.458,4.359
front-end,CPU,19348,8.053,4.81,17.248
front-end,Latency_p50,19327,3.128,2.5,6.679
front-end,Memory,19497,6.152,3.809,7.46
orders,CPU,19523,49.222,26.856,126.627
orders,Latency_p50,19199,9.782,2.457,29.102
orders,Memory,19527,1.718,0.095,1.363
payment,CPU,19529,20.7,7.557,29.358
payment,Latency_p50,19155,6.488,5.008,13.279
payment,Memory,19530,1.616,0.527,5.38
shipping,CPU,19525,54.067,35.754,128.606
shipping,Latency_p50,19162,34.511,1.092,38.778
shipping,Memory,19530,0.471,0.058,0.619
user,CPU,19523,9.217,5.592,20.687
user,Latency_p50,19239,3.21,2.05,7.572
user,Memory,19530,1.875,0.65,6.769
