service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets
front-end,CPU,auto_gcm,3.3168378776182244,0.14897153719598244,0.173230517267382,-2.184612772034778,0.3333333333333333,8
front-end,CPU,linear_pos,3.485477074739544,0.15668366963621005,0.1881383683494177,-2.756319930883628,0.3333333333333333,8
front-end,CPU,hgbr_mono,2.1949119948007656,0.09789845020688381,0.1230298749554731,-0.6063086326070979,0.0,8
catalogue,CPU,auto_gcm,228.82168314469936,0.4500567013077031,0.4975447712539352,-43.741697513393575,1.0,7
catalogue,CPU,linear_pos,92.38574369925621,0.17093018550052033,0.19852908944505043,-6.123549157964175,1.0,7
catalogue,CPU,hgbr_mono,109.6916847354569,0.20892172144264426,0.224189110736118,-8.084000571164701,1.0,7
user,CPU,auto_gcm,5.2394649682994565,0.0504090321699763,0.06962841391119083,-4.569627597163755,0.0,8
user,CPU,linear_pos,4.945965529947448,0.04602851641002807,0.05178987233831923,-2.081362792287641,0.6666666666666666,8
user,CPU,hgbr_mono,2.251058903612911,0.021332823498746975,0.030031322366478493,-0.03610093325218133,0.0,8
carts,CPU,auto_gcm,26.99392069437405,0.5695281321788616,0.5955045624409717,-4.25873818081792,1.0,8
carts,CPU,linear_pos,24.091168347858197,0.5033170623200538,0.5292228287105281,-3.1532540969497056,1.0,8
carts,CPU,hgbr_mono,19.26318472514347,0.39464995988010165,0.43858055525408385,-1.8523979043414407,1.0,8
orders,CPU,auto_gcm,18.12146186721192,0.5110930374389907,0.8176269691645389,-0.9228115523764051,0.0,7
orders,CPU,linear_pos,13.870934160022278,0.39716862843694883,0.6579228120963032,-0.24501962266823085,0.0,7
orders,CPU,hgbr_mono,18.13022933714798,0.45967164524860843,0.6228430063913984,-0.11579263695167219,0.0,7
payment,CPU,auto_gcm,11.27780357442154,0.009888575105599113,0.011063066960736521,-29.619533647691206,1.0,7
payment,CPU,linear_pos,2.4863595150050353,0.0021927848746106766,0.0028333683651242366,-1.0084155310712029,1.0,7
payment,CPU,hgbr_mono,2.8575020769176596,0.002534767859753353,0.0031566490750869207,-1.4928726787555844,1.0,7
shipping,CPU,auto_gcm,19.216478891449647,0.13521571304190425,0.17358979730525326,-3.583821186872476,1.0,8
shipping,CPU,linear_pos,8.983319904646436,0.06433052440831528,0.09094635056827602,-0.2582004289200608,1.0,8
shipping,CPU,hgbr_mono,7.848502446080655,0.055301384843574386,0.08293656238664047,-0.04633640627945779,1.0,8
front-end,Memory,auto_gcm,9.520296142585327,9832361.518593194,11270723.603004033,-294.0136049272702,0.0,8
front-end,Memory,linear_pos,2.3309395163192685,2405577.044343192,2476297.969568322,-13.241123364847102,1.0,8
front-end,Memory,hgbr_mono,5.193966501047995,5362904.822491728,5466157.626828168,-68.39093636200289,1.0,8
catalogue,Memory,auto_gcm,6.091990949402149,373407.31170956313,446351.15740865725,-110.17195023581523,0.0,7
