model,category,n_prompts,pbvr_pct,shr_pct,gmr_pct,mae_pct
Unguarded_ZeroShot_LLM,Adversarial_Stress,10,80.0,56.67,100.0,3683.37
Unguarded_ZeroShot_LLM,Complex_MultiHop,10,53.33,100.0,100.0,415.17
Unguarded_ZeroShot_LLM,In_Distribution,20,26.67,100.0,100.0,57.5
Unguarded_ZeroShot_LLM,Subtle_ReadOnly,10,3.33,100.0,100.0,9.5
Unguarded_FewShot_LLM,Adversarial_Stress,10,60.0,3.33,100.0,180.5
Unguarded_FewShot_LLM,Complex_MultiHop,10,0.0,0.0,86.67,3.5
Unguarded_FewShot_LLM,In_Distribution,20,1.67,3.33,98.33,3.33
Unguarded_FewShot_LLM,Subtle_ReadOnly,10,10.0,0.0,40.0,2.33
Rule_Only,Adversarial_Stress,10,0.0,0.0,0.0,2.5
Rule_Only,Complex_MultiHop,10,0.0,0.0,0.0,4.5
Rule_Only,In_Distribution,20,0.0,0.0,0.0,2.5
Rule_Only,Subtle_ReadOnly,10,0.0,0.0,0.0,2.0
Guarded_Hybrid_Parser,Adversarial_Stress,10,0.0,0.0,0.0,0.5
Guarded_Hybrid_Parser,Complex_MultiHop,10,0.0,0.0,0.0,4.33
Guarded_Hybrid_Parser,In_Distribution,20,0.0,0.0,0.0,2.0
Guarded_Hybrid_Parser,Subtle_ReadOnly,10,0.0,0.0,0.0,2.0
