model,category,n_prompts,pbvr_pct,shr_pct,gmr_pct,mae_pct
Unguarded_ZeroShot_LLM,Adversarial_Stress,10,50.0,50.0,80.0,128.5
Unguarded_ZeroShot_LLM,Complex_MultiHop,10,10.0,100.0,100.0,22.2
Unguarded_ZeroShot_LLM,In_Distribution,20,5.0,90.0,90.0,6.3
Unguarded_ZeroShot_LLM,Subtle_ReadOnly,10,20.0,100.0,100.0,4.8
Unguarded_FewShot_LLM,Adversarial_Stress,10,40.0,10.0,70.0,45.5
Unguarded_FewShot_LLM,Complex_MultiHop,10,20.0,30.0,90.0,12.91
Unguarded_FewShot_LLM,In_Distribution,20,10.0,5.0,85.0,8.36
Unguarded_FewShot_LLM,Subtle_ReadOnly,10,60.0,10.0,30.0,8.16
Rule_Only,Adversarial_Stress,10,0.0,0.0,0.0,2.5
Rule_Only,Complex_MultiHop,10,0.0,0.0,0.0,4.5
Rule_Only,In_Distribution,20,0.0,0.0,0.0,2.5
Rule_Only,Subtle_ReadOnly,10,0.0,0.0,0.0,2.0
Guarded_Hybrid_Parser,Adversarial_Stress,10,0.0,0.0,0.0,2.5
Guarded_Hybrid_Parser,Complex_MultiHop,10,0.0,0.0,0.0,3.5
Guarded_Hybrid_Parser,In_Distribution,20,0.0,0.0,0.0,2.35
Guarded_Hybrid_Parser,Subtle_ReadOnly,10,0.0,0.0,0.0,2.0
