ancestor,descendant,beta_fitted,baseline_A,baseline_D,delta_A_pct,delta_D_pct,wD_correct,wD_naive,wD_abs_err,wD_rel_err_pct,predicted_abs_err,predicted_rel_err_pct,downstream_mean_rel_err_pct,downstream_max_rel_err_pct
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,10.0,10.0,4.4189,4.9232,0.5043,11.41,0.5043,11.41,3.94,34.117
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,10.0,25.0,5.0215,5.5945,0.5731,11.41,0.5731,11.41,8.981,80.382
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,25.0,10.0,4.4189,5.6797,1.2608,28.53,1.2608,28.53,9.825,115.748
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,25.0,25.0,5.0215,6.4542,1.4327,28.53,1.4327,28.53,1.988,12.203
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,50.0,10.0,4.4189,6.9404,2.5215,57.06,2.5215,57.06,1.752,15.935
front-end_workload,catalogue_workload,0.1897,24.168,4.0172,50.0,25.0,5.0215,7.8868,2.8654,57.06,2.8654,57.06,6.537,72.989
front-end_workload,carts_workload,0.3484,24.168,8.0704,10.0,10.0,8.8774,9.8035,0.9261,10.43,0.9261,10.43,3.39,17.969
front-end_workload,carts_workload,0.3484,24.168,8.0704,10.0,25.0,10.088,11.1404,1.0524,10.43,1.0524,10.43,3.964,33.294
front-end_workload,carts_workload,0.3484,24.168,8.0704,25.0,10.0,8.8774,11.1927,2.3153,26.08,2.3153,26.08,4.123,37.494
front-end_workload,carts_workload,0.3484,24.168,8.0704,25.0,25.0,10.088,12.719,2.6311,26.08,2.6311,26.08,6.721,52.297
front-end_workload,carts_workload,0.3484,24.168,8.0704,50.0,10.0,8.8774,13.5081,4.6307,52.16,4.6307,52.16,1.647,13.216
front-end_workload,carts_workload,0.3484,24.168,8.0704,50.0,25.0,10.088,15.3501,5.2621,52.16,5.2621,52.16,4.186,20.736
front-end_workload,user_workload,0.3859,24.168,18.16,10.0,10.0,19.976,21.0019,1.0259,5.14,1.0259,5.14,2.587,22.86
front-end_workload,user_workload,0.3859,24.168,18.16,10.0,25.0,22.7,23.8658,1.1658,5.14,1.1658,5.14,1.655,7.559
front-end_workload,user_workload,0.3859,24.168,18.16,25.0,10.0,19.976,22.5407,2.5647,12.84,2.5647,12.84,1.441,6.3
front-end_workload,user_workload,0.3859,24.168,18.16,25.0,25.0,22.7,25.6145,2.9145,12.84,2.9145,12.84,7.797,94.076
front-end_workload,user_workload,0.3859,24.168,18.16,50.0,10.0,19.976,25.1055,5.1295,25.68,5.1295,25.68,4.08,31.322
front-end_workload,user_workload,0.3859,24.168,18.16,50.0,25.0,22.7,28.529,5.829,25.68,5.829,25.68,1.852,8.024
front-end_workload,orders_workload,0.03,24.168,2.012,10.0,10.0,2.2132,2.293,0.0798,3.61,0.0798,3.61,3.958,23.258
front-end_workload,orders_workload,0.03,24.168,2.012,10.0,25.0,2.515,2.6057,0.0907,3.61,0.0907,3.61,3.543,16.838
front-end_workload,orders_workload,0.03,24.168,2.012,25.0,10.0,2.2132,2.4127,0.1995,9.02,0.1995,9.02,2.673,13.029
front-end_workload,orders_workload,0.03,24.168,2.012,25.0,25.0,2.515,2.7417,0.2267,9.02,0.2267,9.02,5.924,41.568
front-end_workload,orders_workload,0.03,24.168,2.012,50.0,10.0,2.2132,2.6122,0.3991,18.03,0.3991,18.03,5.323,34.165
front-end_workload,orders_workload,0.03,24.168,2.012,50.0,25.0,2.515,2.9685,0.4535,18.03,0.4535,18.03,2.965,14.21
orders_workload,carts_workload,0.2776,2.02,8.0704,10.0,10.0,8.8774,8.9391,0.0617,0.69,0.0617,0.69,4.021,36.926
orders_workload,carts_workload,0.2776,2.02,8.0704,10.0,25.0,10.088,10.1581,0.0701,0.69,0.0701,0.69,6.257,58.535
orders_workload,carts_workload,0.2776,2.02,8.0704,25.0,10.0,8.8774,9.0316,0.1542,1.74,0.1542,1.74,7.486,84.768
orders_workload,carts_workload,0.2776,2.02,8.0704,25.0,25.0,10.088,10.2632,0.1753,1.74,0.1753,1.74,1.594,4.942
orders_workload,carts_workload,0.2776,2.02,8.0704,50.0,10.0,8.8774,9.1859,0.3085,3.47,0.3085,3.47,2.079,9.086
orders_workload,carts_workload,0.2776,2.02,8.0704,50.0,25.0,10.088,10.4385,0.3505,3.47,0.3505,3.47,2.127,10.154
orders_workload,user_workload,4.2436,2.02,18.16,10.0,10.0,19.976,20.9191,0.9431,4.72,0.9431,4.72,2.152,11.387
orders_workload,user_workload,4.2436,2.02,18.16,10.0,25.0,22.7,23.7717,1.0717,4.72,1.0717,4.72,3.582,32.735
orders_workload,user_workload,4.2436,2.02,18.16,25.0,10.0,19.976,22.3337,2.3577,11.8,2.3577,11.8,2.563,15.588
orders_workload,user_workload,4.2436,2.02,18.16,25.0,25.0,22.7,25.3792,2.6792,11.8,2.6792,11.8,3.208,27.834
orders_workload,user_workload,4.2436,2.02,18.16,50.0,10.0,19.976,24.6914,4.7154,23.61,4.7154,23.61,1.588,8.292
orders_workload,user_workload,4.2436,2.02,18.16,50.0,25.0,22.7,28.0584,5.3585,23.61,5.3585,23.61,2.848,8.938
orders_workload,payment_workload,0.7819,2.02,2.0172,10.0,10.0,2.2189,2.3927,0.1738,7.83,0.1738,7.83,4.485,29.128
orders_workload,payment_workload,0.7819,2.02,2.0172,10.0,25.0,2.5215,2.719,0.1975,7.83,0.1975,7.83,4.3,40.169
orders_workload,payment_workload,0.7819,2.02,2.0172,25.0,10.0,2.2189,2.6533,0.4344,19.58,0.4344,19.58,1.902,7.537
orders_workload,payment_workload,0.7819,2.02,2.0172,25.0,25.0,2.5215,3.0152,0.4936,19.58,0.4936,19.58,1.268,4.715
orders_workload,payment_workload,0.7819,2.02,2.0172,50.0,10.0,2.2189,3.0877,0.8688,39.15,0.8688,39.15,3.786,29.076
orders_workload,payment_workload,0.7819,2.02,2.0172,50.0,25.0,2.5215,3.5088,0.9873,39.15,0.9873,39.15,3.22,16.867
orders_workload,shipping_workload,0.8098,2.02,2.0165,10.0,10.0,2.2181,2.3981,0.18,8.11,0.18,8.11,5.278,61.728
orders_workload,shipping_workload,0.8098,2.02,2.0165,10.0,25.0,2.5206,2.7251,0.2045,8.11,0.2045,8.11,4.018,39.023
orders_workload,shipping_workload,0.8098,2.02,2.0165,25.0,10.0,2.2181,2.668,0.4499,20.28,0.4499,20.28,2.939,18.557
orders_workload,shipping_workload,0.8098,2.02,2.0165,25.0,25.0,2.5206,3.0319,0.5113,20.28,0.5113,20.28,3.483,37.329
orders_workload,shipping_workload,0.8098,2.02,2.0165,50.0,10.0,2.2181,3.118,0.8998,40.57,0.8998,40.57,4.221,37.638
orders_workload,shipping_workload,0.8098,2.02,2.0165,50.0,25.0,2.5206,3.5431,1.0225,40.57,1.0225,40.57,2.497,9.692
