scenario,target,fault,run_id,metric,n_services,delta_w_pct,rho_model,rho_hop,rho_random,prec_model,prec_hop,prec_random
carts_cpu,carts,cpu,1,cpu,6,2.1624217789774134,-0.028571428571428574,0.0,-0.4285714285714286,0.5,0.5,0.5
carts_cpu,carts,cpu,1,mem,6,2.1624217789774134,-0.8804062740424288,-0.6210590034081188,-0.030358837035945815,0.0,0.0,0.0
carts_cpu,carts,cpu,2,cpu,6,-1.907974769847243,0.27322953332351235,-0.8280786712108251,-0.5161002296110789,0.0,0.0,0.0
carts_cpu,carts,cpu,2,mem,6,-1.907974769847243,-0.2571428571428572,0.0,0.3714285714285715,0.5,0.0,0.5
carts_cpu,carts,cpu,3,cpu,6,0.5496738557260826,-0.5161002296110789,0.41403933560541256,0.8804062740424288,0.0,0.5,1.0
carts_cpu,carts,cpu,3,mem,6,0.5496738557260826,-0.39279220242478635,-0.41403933560541256,0.6546536707079772,0.0,0.0,0.5
carts_delay,carts,delay,1,cpu,6,-10.05032566931555,-0.14285714285714288,0.0,-0.2571428571428572,0.5,0.5,0.0
carts_delay,carts,delay,1,mem,6,-10.05032566931555,0.304255531702266,-0.6210590034081188,0.13522468075656266,0.5,0.0,0.5
carts_delay,carts,delay,2,cpu,6,-9.405590030633405,-0.48571428571428577,0.20701966780270628,-0.3142857142857143,0.0,0.5,0.5
carts_delay,carts,delay,2,mem,6,-9.405590030633405,-0.21251185925162072,-0.41403933560541256,0.5161002296110789,0.5,0.0,0.5
carts_delay,carts,delay,3,cpu,6,-9.31920032017888,0.753702346348183,-0.20701966780270628,0.28988551782622424,0.5,0.0,0.5
carts_delay,carts,delay,3,mem,6,-9.31920032017888,0.21251185925162072,-0.20701966780270628,0.5161002296110789,0.5,0.5,0.5
carts_disk,carts,disk,1,cpu,6,0.3046724959022008,0.6571428571428573,0.6210590034081188,-0.7714285714285715,0.5,0.5,0.0
carts_disk,carts,disk,1,mem,6,0.3046724959022008,0.14494275891311212,-0.41403933560541256,-0.753702346348183,0.5,0.0,0.0
carts_disk,carts,disk,2,cpu,6,-0.23367291281291883,-0.33394720739540396,-0.20701966780270628,0.27322953332351235,0.5,0.0,0.5
carts_disk,carts,disk,2,mem,6,-0.23367291281291883,-0.5408987230262506,-0.8280786712108251,-0.4394802124588286,0.0,0.0,0.5
carts_disk,carts,disk,3,cpu,6,2.2440868502512874,-0.4285714285714286,0.0,-0.3714285714285715,0.0,0.5,0.0
carts_disk,carts,disk,3,mem,6,2.2440868502512874,-0.7775419143502353,-0.41403933560541256,-0.2704493615131253,0.0,0.0,0.0
carts_loss,carts,loss,1,cpu,6,-45.60703184094957,-0.33394720739540396,-0.41403933560541256,0.15179418517972906,0.5,0.0,0.5
carts_loss,carts,loss,1,mem,6,-45.60703184094957,-0.27322953332351235,-0.41403933560541256,-0.4553825555391872,0.0,0.0,0.0
carts_loss,carts,loss,2,cpu,6,-5.886322643449554,-0.9276336570439174,-0.41403933560541256,0.4058397249567139,0.0,0.0,0.5
carts_loss,carts,loss,2,mem,6,-5.886322643449554,-0.6,0.0,-0.5428571428571429,0.0,0.0,0.0
carts_loss,carts,loss,3,cpu,6,-14.61197598105245,0.08571428571428573,0.20701966780270628,-0.6571428571428573,0.5,0.5,0.0
carts_loss,carts,loss,3,mem,6,-14.61197598105245,-0.7714285714285715,-0.41403933560541256,-0.8285714285714287,0.0,0.0,0.0
carts_mem,carts,mem,1,cpu,6,-0.8375438992135273,0.3946648814672956,-0.41403933560541256,-0.030358837035945815,1.0,0.0,0.5
carts_mem,carts,mem,1,mem,6,-0.8375438992135273,-0.39279220242478635,-0.20701966780270628,-0.6546536707079772,0.5,0.0,0.5
carts_mem,carts,mem,2,cpu,6,1.8429102077930248,-0.6375355777548621,-0.41403933560541256,-0.5161002296110789,0.0,0.0,0.0
carts_mem,carts,mem,2,mem,6,1.8429102077930248,0.6571428571428573,-0.6210590034081188,-0.2571428571428572,0.5,0.0,0.0
carts_mem,carts,mem,3,cpu,6,0.19697345161720003,0.15179418517972906,-0.41403933560541256,0.5161002296110789,0.0,0.0,0.5
carts_mem,carts,mem,3,mem,6,0.19697345161720003,-0.033806170189140665,0.0,-0.3380617018914066,0.0,0.0,0.5
carts_socket,carts,socket,1,cpu,6,1.052796630064187,-0.21251185925162072,0.6210590034081188,-0.09107651110783746,0.0,0.5,0.0
carts_socket,carts,socket,1,mem,6,1.052796630064187,-0.3380617018914066,-0.8280786712108251,0.06761234037828133,0.5,0.0,0.5
carts_socket,carts,socket,2,cpu,6,-1.5266422141614133,0.2608969660436018,-0.41403933560541256,-0.5797710356524485,0.5,0.0,0.0
carts_socket,carts,socket,2,mem,6,-1.5266422141614133,0.33394720739540396,0.0,0.09107651110783746,0.5,0.0,0.0
carts_socket,carts,socket,3,cpu,6,4.010810062085514,-0.7714285714285715,-0.20701966780270628,0.08571428571428573,0.0,0.5,0.5
carts_socket,carts,socket,3,mem,6,4.010810062085514,0.9411239481143202,0.41403933560541256,0.030358837035945815,1.0,0.5,0.5
catalogue_cpu,catalogue,cpu,1,cpu,6,27.151193335338082,0.7714285714285715,0.2777460299317655,0.48571428571428577,0.5,0.5,0.5
catalogue_cpu,catalogue,cpu,1,mem,6,27.151193335338082,1.0,0.3086066999241838,0.2,1.0,0.5,0.5
catalogue_cpu,catalogue,cpu,2,cpu,6,39.66312424983775,0.6,-0.18516401995451032,-0.14285714285714288,1.0,0.5,0.0
catalogue_cpu,catalogue,cpu,2,mem,6,39.66312424983775,1.0,0.46291004988627577,0.5428571428571429,1.0,0.5,0.5
catalogue_cpu,catalogue,cpu,3,cpu,6,-1.2361527852760625,0.11595420713048968,-0.2777460299317655,-0.05797710356524484,0.5,0.5,0.5
catalogue_cpu,catalogue,cpu,3,mem,6,-1.2361527852760625,0.030358837035945815,-0.06172133998483677,-0.21251185925162072,0.5,0.5,0.5
catalogue_delay,catalogue,delay,1,cpu,6,-3.729272076069461,-0.4285714285714286,0.46291004988627577,-0.2,0.5,0.5,0.0
catalogue_delay,catalogue,delay,1,mem,6,-3.729272076069461,-0.753702346348183,0.9258200997725515,0.550782483869826,0.0,1.0,0.5
catalogue_delay,catalogue,delay,2,cpu,6,-2.812223016923218,-0.3142857142857143,0.3394673699166022,0.028571428571428574,0.0,0.5,0.5
catalogue_delay,catalogue,delay,2,mem,6,-2.812223016923218,-0.6761234037828132,0.18516401995451032,-0.304255531702266,0.5,1.0,0.5
catalogue_delay,catalogue,delay,3,cpu,6,-15.541729946407024,0.3380617018914066,0.3086066999241838,-0.4394802124588286,0.5,0.5,0.5
catalogue_delay,catalogue,delay,3,mem,6,-15.541729946407024,0.21251185925162072,0.9258200997725515,-0.09107651110783746,1.0,1.0,0.5
catalogue_disk,catalogue,disk,1,cpu,6,18.147255226421347,0.942857142857143,0.0,-0.6571428571428573,1.0,0.5,0.0
catalogue_disk,catalogue,disk,1,mem,6,18.147255226421347,0.4928053803045812,-0.46291004988627577,-0.11595420713048968,0.5,0.0,0.0
catalogue_disk,catalogue,disk,2,cpu,6,0.3151525809047541,,-0.09258200997725516,,0.5,0.5,0.5
catalogue_disk,catalogue,disk,2,mem,6,0.3151525809047541,,0.2777460299317655,,0.5,0.5,0.5
catalogue_disk,catalogue,disk,3,cpu,6,-1.3177419005246969,0.39279220242478635,0.6480740698407861,0.6546536707079772,0.5,0.5,0.5
catalogue_disk,catalogue,disk,3,mem,6,-1.3177419005246969,-0.39279220242478635,0.5246313898711126,0.6546536707079772,0.5,0.5,0.5
catalogue_loss,catalogue,loss,1,cpu,6,-65.76845411823886,-0.33394720739540396,0.0,0.030358837035945815,0.0,0.5,0.0
