system,omnibus_chi2,omnibus_p,omnibus_rejects,comparison,scope,n,n_identical,median_delta,p,r,cliff,wins,p_holm,verdict
SockShop,14.559,0.005709,True,SCM_Deployed_vs_LinearReg,pooled,21,12,0.0,0.010862224704815628,-0.9555555555555556,-0.3333333333333333,1,0.10862224704815628,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_LinearReg,CPU,7,7,0.0,,,0.0,0,,--
SockShop,14.559,0.005709,True,SCM_Deployed_vs_LinearReg,Memory,7,3,0.0,0.14412703481601533,-0.8,-0.2857142857142857,1,0.4375,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_LinearReg,Socket,7,2,0.23000000000000043,0.043114446783075355,-1.0,-0.7142857142857143,0,0.25868668069845213,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GradBoost,pooled,21,1,0.8500000000000001,0.027621013367531002,-0.5619047619047619,-0.38095238095238093,6,0.24858912030777902,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GradBoost,CPU,7,0,3.8999999999999986,0.109375,-0.7142857142857143,-0.7142857142857143,1,0.4375,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GradBoost,Memory,7,1,0.0,0.7531523647659145,-0.14285714285714285,0.0,3,0.7531523647659145,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GradBoost,Socket,7,0,2.2300000000000004,0.15625,-0.6428571428571429,-0.42857142857142855,2,0.4375,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GaussianProcess,pooled,21,3,0.3600000000000012,0.0006292038308113259,-0.9181286549707602,-0.7619047619047619,1,0.006921242138924586,**
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GaussianProcess,CPU,7,0,7.980000000000004,0.03125,-0.9285714285714286,-0.7142857142857143,1,0.24858912030777902,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GaussianProcess,Memory,7,2,0.040000000000000036,0.043114446783075355,-1.0,-0.7142857142857143,0,0.25868668069845213,ns
SockShop,14.559,0.005709,True,SCM_Deployed_vs_GaussianProcess,Socket,7,1,0.5200000000000005,0.027707849358079868,-1.0,-0.8571428571428571,0,0.24858912030777902,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_LinearReg,pooled,21,7,0.0,0.018566712279734193,0.7142857142857143,0.19047619047619047,9,0.22280054735681032,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_LinearReg,CPU,7,3,0.0,0.14412703481601533,0.8,0.2857142857142857,3,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_LinearReg,Memory,7,4,0.0,0.10880943004054569,-1.0,-0.42857142857142855,0,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_LinearReg,Socket,7,0,-1.25,0.03125,0.9285714285714286,0.7142857142857143,6,0.34375,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GradBoost,pooled,21,1,0.16000000000000014,0.45527280991543384,-0.19047619047619047,-0.19047619047619047,8,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GradBoost,CPU,7,0,2.3499999999999996,0.375,-0.42857142857142855,-0.42857142857142855,2,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GradBoost,Memory,7,1,0.16000000000000014,0.463071015014588,-0.3333333333333333,-0.2857142857142857,2,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GradBoost,Socket,7,0,-0.08000000000000007,0.578125,0.2857142857142857,0.14285714285714285,4,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GaussianProcess,pooled,21,1,0.11999999999999922,0.6274460333215013,-0.12380952380952381,-0.19047619047619047,8,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GaussianProcess,CPU,7,0,1.8000000000000007,0.578125,-0.2857142857142857,-0.42857142857142855,2,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GaussianProcess,Memory,7,1,0.15000000000000036,0.3454475304692257,-0.42857142857142855,-0.5714285714285714,1,1.0,ns
SockShop,14.559,0.005709,True,SCM_Auto_vs_GaussianProcess,Socket,7,0,-0.8399999999999999,0.46875,0.35714285714285715,0.42857142857142855,5,1.0,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_LinearReg,pooled,84,74,0.0,0.6464622026641696,-0.16363636363636364,-0.023809523809523808,4,1.0,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_LinearReg,CPU,28,27,0.0,0.31731050786291415,1.0,0.03571428571428571,1,1.0,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_LinearReg,Memory,28,24,0.0,0.27332167829229814,0.6,0.07142857142857142,3,1.0,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_LinearReg,Socket,28,23,0.0,0.043114446783075355,-1.0,-0.17857142857142858,0,0.25868668069845213,ns
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GradBoost,pooled,84,1,0.32000000000000073,2.4699260021552213e-08,-0.7045324153757889,-0.44047619047619047,23,2.7169186023707435e-07,***
TrainTicket,45.833,0.0,True,SCM_Deployed_vs_GradBoost,CPU,28,0,20.114999999999995,3.203749656677246e-07,-0.9507389162561576,-0.7857142857142857,3,2.8833746910095215e-06,***
