level_pct,repeat,node,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
0.0,0,catalogue_cpu,13.36,0.0236,3.9905,0.4931,normal
0.0,0,user_cpu,0.17,0.0093,0.0682,0.4351,normal
0.0,0,payment_cpu,-5.59,0.0178,0.0408,0.4032,normal
0.0,0,front-end_cpu,-0.99,0.0769,0.2045,0.2794,normal
0.0,0,orders_cpu,7.28,0.0521,0.6946,0.1085,normal
0.0,0,shipping_cpu,10.59,0.0911,0.8295,0.066,normal
0.0,0,carts_cpu,-0.33,0.0035,0.7397,0.041,normal
0.0,1,catalogue_cpu,57.07,0.1007,3.9905,0.5811,normal
0.0,1,user_cpu,0.8,0.0444,0.0779,0.4152,normal
0.0,1,payment_cpu,-5.62,0.0179,0.0182,0.4108,normal
0.0,1,front-end_cpu,-0.74,0.0575,0.1415,0.3194,normal
0.0,1,orders_cpu,-5.32,0.0381,0.4523,0.1916,normal
0.0,1,carts_cpu,1.83,0.0195,0.8456,0.1724,normal
0.0,1,shipping_cpu,1.08,0.0093,0.7397,0.0118,normal
0.0,2,payment_cpu,-3.85,0.0123,0.1743,0.491,normal
0.0,2,front-end_cpu,0.64,0.0501,0.0998,0.475,normal
0.0,2,user_cpu,-1.04,0.0577,0.0377,0.4511,normal
0.0,2,catalogue_cpu,-24.21,0.0427,0.0492,0.4152,normal
0.0,2,orders_cpu,-3.67,0.0262,0.5426,0.1756,normal
0.0,2,shipping_cpu,-11.44,0.0983,0.5122,0.0719,normal
0.0,2,carts_cpu,-1.1,0.0117,0.7355,0.0635,normal
0.0,3,front-end_cpu,0.8,0.0623,0.046,0.499,normal
0.0,3,user_cpu,-1.11,0.0616,0.006,0.479,normal
0.0,3,payment_cpu,-6.02,0.0192,0.005,0.4575,normal
0.0,3,catalogue_cpu,-16.87,0.0298,0.6288,0.1477,normal
0.0,3,orders_cpu,2.21,0.0158,0.669,0.1159,normal
0.0,3,shipping_cpu,-5.54,0.0476,0.592,0.0599,normal
0.0,3,carts_cpu,3.57,0.038,0.841,0.0573,normal
0.0,4,payment_cpu,-5.46,0.0174,0.0346,0.4631,normal
0.0,4,user_cpu,0.24,0.0132,0.0812,0.3872,normal
0.0,4,front-end_cpu,-0.91,0.0713,0.202,0.3792,normal
0.0,4,catalogue_cpu,-22.34,0.0394,0.1814,0.3593,normal
0.0,4,orders_cpu,1.34,0.0096,0.56,0.1238,normal
0.0,4,carts_cpu,3.41,0.0363,0.8668,0.1132,normal
0.0,4,shipping_cpu,-0.03,0.0002,0.6554,0.0013,normal
20.0,0,catalogue_cpu,12.56,0.0222,1.183,0.4888,normal
20.0,0,payment_cpu,-6.32,0.0201,0.0356,0.4872,normal
20.0,0,front-end_cpu,9.89,0.7706,0.1566,0.4855,normal
20.0,0,user_cpu,4.89,0.2721,0.1009,0.4148,normal
20.0,0,carts_cpu,12.35,0.1315,0.8068,0.1393,normal
20.0,0,orders_cpu,9.43,0.0675,0.6084,0.1136,normal
20.0,0,shipping_cpu,10.6,0.0912,0.8113,0.0901,normal
20.0,1,catalogue_cpu,19.65,0.0347,2.0142,0.486,normal
20.0,1,front-end_cpu,10.19,0.7942,0.1473,0.4711,normal
20.0,1,user_cpu,3.47,0.1932,0.0335,0.4367,normal
20.0,1,payment_cpu,-6.58,0.021,0.0565,0.4351,normal
20.0,1,carts_cpu,9.76,0.1039,0.9031,0.1226,normal
20.0,1,orders_cpu,18.32,0.1311,0.719,0.0895,normal
20.0,1,shipping_cpu,5.98,0.0514,0.6827,0.0188,normal
20.0,2,front-end_cpu,11.2,0.8727,0.0429,0.5014,normal
20.0,2,catalogue_cpu,6.45,0.0114,0.5548,0.4608,normal
20.0,2,payment_cpu,-6.13,0.0195,0.0618,0.4173,normal
20.0,2,user_cpu,4.23,0.2352,0.064,0.3665,normal
20.0,2,orders_cpu,21.34,0.1527,0.8046,0.0433,normal
20.0,2,carts_cpu,2.73,0.0291,0.7088,0.0415,normal
20.0,2,shipping_cpu,0.66,0.0057,0.7007,0.0279,normal
20.0,3,front-end_cpu,10.02,0.7807,0.1554,0.4848,normal
20.0,3,catalogue_cpu,4.9,0.0086,0.3465,0.4418,normal
20.0,3,user_cpu,4.13,0.2297,0.0844,0.4359,normal
20.0,3,payment_cpu,-7.16,0.0228,0.0693,0.4032,normal
20.0,3,carts_cpu,12.28,0.1307,0.8692,0.1124,normal
20.0,3,orders_cpu,15.1,0.1081,0.6573,0.0628,normal
20.0,3,shipping_cpu,-0.37,0.0032,0.6946,0.0531,normal
20.0,4,catalogue_cpu,20.75,0.0366,2.2784,0.4711,normal
20.0,4,front-end_cpu,9.25,0.7209,0.1959,0.4409,normal
20.0,4,user_cpu,3.52,0.1958,0.0618,0.4354,normal
20.0,4,payment_cpu,-3.41,0.0109,0.1862,0.3322,normal
20.0,4,carts_cpu,14.44,0.1537,0.8341,0.1251,normal
20.0,4,orders_cpu,12.26,0.0877,0.6573,0.0761,normal
20.0,4,shipping_cpu,0.83,0.0072,0.6788,0.0694,normal
50.0,0,front-end_cpu,25.33,1.9738,0.2168,0.6741,warning
50.0,0,catalogue_cpu,83.01,0.1465,3.8402,0.4996,normal
50.0,0,user_cpu,8.83,0.4908,0.0429,0.4848,normal
50.0,0,payment_cpu,-5.49,0.0175,0.001,0.475,normal
50.0,0,orders_cpu,21.9,0.1567,0.5548,0.1403,normal
50.0,0,carts_cpu,21.89,0.233,0.8341,0.1278,normal
50.0,0,shipping_cpu,3.2,0.0275,0.6631,0.0179,normal
50.0,1,front-end_cpu,25.53,1.9888,0.2081,0.6777,warning
50.0,1,catalogue_cpu,88.37,0.1559,3.9378,0.4905,normal
50.0,1,payment_cpu,-6.12,0.0195,0.0284,0.4883,normal
50.0,1,user_cpu,8.99,0.4999,0.0335,0.4657,normal
50.0,1,carts_cpu,28.73,0.3057,0.9773,0.1425,normal
50.0,1,orders_cpu,25.23,0.1806,0.6382,0.128,normal
50.0,1,shipping_cpu,8.91,0.0766,0.7781,0.0714,normal
50.0,2,catalogue_cpu,37.97,0.067,0.005,0.7039,normal
50.0,2,front-end_cpu,26.25,2.0448,0.1415,0.6988,warning
50.0,2,payment_cpu,-6.08,0.0194,0.0629,0.4463,normal
50.0,2,user_cpu,9.44,0.5248,0.091,0.412,normal
50.0,2,carts_cpu,14.99,0.1595,0.7397,0.1079,normal
50.0,2,orders_cpu,24.05,0.1721,0.6158,0.1044,normal
50.0,2,shipping_cpu,-3.15,0.0271,0.5776,0.0878,normal
50.0,3,front-end_cpu,25.61,1.9952,0.1719,0.6873,warning
50.0,3,catalogue_cpu,86.41,0.1525,3.6696,0.4961,normal
50.0,3,payment_cpu,-4.58,0.0146,0.0661,0.4854,normal
50.0,3,user_cpu,10.81,0.601,0.1086,0.4109,normal
50.0,3,carts_cpu,23.53,0.2504,0.8181,0.141,normal
50.0,3,orders_cpu,17.53,0.1254,0.5022,0.1364,normal
50.0,3,shipping_cpu,5.64,0.0485,0.7439,0.0486,normal
50.0,4,front-end_cpu,25.6,1.9946,0.2131,0.6645,warning
50.0,4,catalogue_cpu,44.13,0.0779,0.4745,0.6402,normal
50.0,4,user_cpu,8.2,0.4558,0.0325,0.4582,normal
50.0,4,payment_cpu,-4.72,0.015,0.0346,0.4443,normal
50.0,4,carts_cpu,20.77,0.2211,0.8091,0.1725,normal
50.0,4,orders_cpu,17.21,0.1231,0.494,0.1181,normal
50.0,4,shipping_cpu,-8.29,0.0713,0.5812,0.0679,normal
150.0,0,front-end_cpu,78.68,6.1299,0.1874,0.7808,critical
150.0,0,user_cpu,27.23,1.5142,0.0387,0.7214,warning
150.0,0,catalogue_cpu,171.86,0.3032,0.7957,0.5393,normal
150.0,0,payment_cpu,-4.14,0.0132,0.003,0.4591,normal
150.0,0,orders_cpu,65.1,0.4659,0.5392,0.3211,normal
150.0,0,carts_cpu,59.88,0.6372,0.886,0.2499,normal
150.0,0,shipping_cpu,12.27,0.1055,0.6987,0.0952,normal
150.0,1,front-end_cpu,79.23,6.1732,0.1911,0.8167,critical
150.0,1,catalogue_cpu,163.02,0.2876,0.0346,0.7148,normal
150.0,1,user_cpu,26.28,1.4617,0.009,0.6985,warning
150.0,1,payment_cpu,-3.17,0.0101,0.0315,0.4981,normal
150.0,1,carts_cpu,59.55,0.6337,0.8644,0.2775,normal
150.0,1,orders_cpu,75.17,0.5379,0.6102,0.2683,normal
150.0,1,shipping_cpu,1.49,0.0128,0.6807,0.0768,normal
150.0,2,front-end_cpu,79.25,6.1745,0.1589,0.7454,critical
150.0,2,user_cpu,27.97,1.5556,0.0315,0.6895,warning
150.0,2,catalogue_cpu,192.0,0.3388,3.4583,0.5133,normal
150.0,2,payment_cpu,-4.06,0.0129,0.0544,0.4729,normal
150.0,2,orders_cpu,70.79,0.5066,0.5956,0.3119,normal
150.0,2,carts_cpu,60.4,0.6428,0.8001,0.2204,normal
150.0,2,shipping_cpu,7.57,0.0651,0.7149,0.0743,normal
150.0,3,front-end_cpu,79.79,6.2163,0.1075,0.7854,critical
150.0,3,user_cpu,28.26,1.5713,0.0597,0.6941,warning
150.0,3,payment_cpu,-4.41,0.014,0.0335,0.4992,normal
150.0,3,catalogue_cpu,190.43,0.336,3.3387,0.4958,normal
150.0,3,orders_cpu,76.91,0.5504,0.6139,0.3279,normal
150.0,3,carts_cpu,61.55,0.655,0.8387,0.2427,normal
150.0,3,shipping_cpu,4.0,0.0344,0.6554,0.022,normal
150.0,4,front-end_cpu,79.35,6.1819,0.1802,0.7963,critical
150.0,4,user_cpu,28.43,1.5807,0.0758,0.68,warning
150.0,4,catalogue_cpu,170.0,0.3,0.4538,0.6263,normal
150.0,4,payment_cpu,-3.51,0.0112,0.01,0.468,normal
150.0,4,orders_cpu,69.08,0.4943,0.5741,0.3007,normal
150.0,4,carts_cpu,64.01,0.6813,0.8621,0.2817,normal
150.0,4,shipping_cpu,2.03,0.0174,0.6084,0.0564,normal
300.0,0,user_cpu,55.25,3.0727,0.0121,0.9132,critical
300.0,0,front-end_cpu,159.07,12.3935,0.1426,0.7926,critical
300.0,0,orders_cpu,133.05,0.9521,0.5006,0.5555,normal
300.0,0,catalogue_cpu,411.91,0.7268,4.2341,0.5126,normal
300.0,0,payment_cpu,-1.61,0.0051,0.0182,0.4792,normal
300.0,0,carts_cpu,117.5,1.2505,0.8668,0.3471,warning
300.0,0,shipping_cpu,4.66,0.0401,0.667,0.0302,normal
300.0,1,user_cpu,57.02,3.1709,0.0661,0.9298,critical
300.0,1,front-end_cpu,160.26,12.486,0.0565,0.8031,critical
300.0,1,catalogue_cpu,396.93,0.7004,3.6696,0.5224,normal
300.0,1,payment_cpu,-2.05,0.0065,0.102,0.5179,normal
300.0,1,orders_cpu,141.69,1.014,0.5688,0.4926,warning
300.0,1,carts_cpu,116.67,1.2416,0.7891,0.3486,warning
300.0,1,shipping_cpu,12.65,0.1088,0.7169,0.1102,normal
300.0,2,user_cpu,55.91,3.1092,0.0682,0.8843,critical
300.0,2,front-end_cpu,158.52,12.35,0.1911,0.7805,critical
300.0,2,payment_cpu,-2.48,0.0079,0.0387,0.5369,normal
300.0,2,orders_cpu,140.56,1.0058,0.5884,0.5111,warning
300.0,2,catalogue_cpu,381.27,0.6728,3.3109,0.5104,normal
300.0,2,carts_cpu,117.85,1.2542,0.8433,0.3989,warning
300.0,2,shipping_cpu,5.71,0.0491,0.6066,0.0453,normal
300.0,3,user_cpu,56.39,3.1357,0.0304,0.9052,critical
300.0,3,front-end_cpu,159.04,12.391,0.1683,0.7857,critical
300.0,3,catalogue_cpu,403.81,0.7125,3.5584,0.5288,normal
300.0,3,payment_cpu,0.38,0.0012,0.1814,0.4161,normal
300.0,3,orders_cpu,152.3,1.0899,0.6946,0.3892,warning
