repeat,node,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
0,catalogue_cpu,9.71,0.0171,3.7947,0.4844,normal
0,user_cpu,0.29,0.0163,0.0597,0.4471,normal
0,front-end_cpu,1.1,0.0856,0.0377,0.4271,normal
0,payment_cpu,-6.91,0.022,0.0534,0.3952,normal
0,orders_cpu,-1.6,0.0115,0.5105,0.1724,normal
0,shipping_cpu,7.4,0.0636,0.7825,0.1557,normal
0,carts_cpu,0.49,0.0053,0.8387,0.0679,normal
1,user_cpu,-0.64,0.0357,0.0121,0.479,normal
1,payment_cpu,-5.54,0.0177,0.002,0.4471,normal
1,front-end_cpu,0.57,0.0441,0.0747,0.3593,normal
1,catalogue_cpu,-5.88,0.0104,2.0067,0.2582,normal
1,shipping_cpu,-3.6,0.0309,0.6827,0.1756,normal
1,orders_cpu,-7.6,0.0544,0.4321,0.1724,normal
1,carts_cpu,5.75,0.0612,0.8764,0.0565,normal
2,user_cpu,0.76,0.0424,0.0408,0.475,normal
2,catalogue_cpu,-24.4,0.0431,0.0141,0.4551,normal
2,front-end_cpu,-0.12,0.0094,0.0866,0.4192,normal
2,payment_cpu,-6.46,0.0206,0.01,0.3752,normal
2,orders_cpu,-1.93,0.0138,0.5794,0.2116,normal
2,shipping_cpu,-5.63,0.0484,0.5375,0.1954,normal
2,carts_cpu,-5.4,0.0575,0.642,0.1279,normal
3,catalogue_cpu,21.86,0.0386,3.9378,0.545,normal
3,payment_cpu,-6.01,0.0191,0.008,0.491,normal
3,user_cpu,1.54,0.0859,0.0418,0.4404,normal
3,front-end_cpu,-0.32,0.0246,0.1232,0.3673,normal
3,orders_cpu,5.81,0.0416,0.6344,0.1756,normal
3,carts_cpu,4.55,0.0484,0.8836,0.0958,normal
3,shipping_cpu,3.06,0.0263,0.6926,0.0758,normal
4,user_cpu,-0.77,0.0429,-0.0,0.479,normal
4,front-end_cpu,-0.17,0.0134,0.2008,0.4351,normal
4,catalogue_cpu,-26.46,0.0467,0.0398,0.4311,normal
4,payment_cpu,-6.21,0.0198,0.0408,0.3912,normal
4,orders_cpu,-1.24,0.0089,0.5548,0.1836,normal
4,shipping_cpu,7.73,0.0665,0.8136,0.0963,normal
4,carts_cpu,5.91,0.0629,0.8716,0.0751,normal
5,user_cpu,-0.45,0.0251,0.0304,0.499,normal
5,catalogue_cpu,-25.13,0.0443,0.005,0.479,normal
5,payment_cpu,-7.33,0.0233,0.1098,0.4009,normal
5,front-end_cpu,-1.04,0.0813,0.2008,0.3433,normal
5,shipping_cpu,2.74,0.0236,0.7272,0.1025,normal
5,orders_cpu,3.53,0.0253,0.6066,0.0679,normal
5,carts_cpu,4.14,0.044,0.8272,0.0446,normal
6,catalogue_cpu,-25.34,0.0447,0.0555,0.4551,normal
6,user_cpu,-0.33,0.0181,0.0682,0.4005,normal
6,front-end_cpu,0.12,0.0093,0.0976,0.3872,normal
6,payment_cpu,-7.99,0.0254,0.1473,0.2835,normal
6,shipping_cpu,2.94,0.0253,0.7587,0.1343,normal
6,orders_cpu,5.32,0.0381,0.6946,0.0891,normal
6,carts_cpu,3.46,0.0368,0.8692,0.0798,normal
7,catalogue_cpu,46.5,0.082,3.9378,0.5693,normal
7,user_cpu,0.4,0.0221,0.045,0.483,normal
7,payment_cpu,-6.78,0.0216,0.0758,0.4689,normal
7,front-end_cpu,-0.79,0.0612,0.1996,0.4032,normal
7,shipping_cpu,-6.42,0.0552,0.5635,0.2196,normal
7,carts_cpu,-5.98,0.0636,0.6515,0.2036,normal
7,orders_cpu,-3.01,0.0216,0.4989,0.1916,normal
8,payment_cpu,-6.24,0.0199,0.0325,0.491,normal
8,user_cpu,0.0,0.0001,0.0131,0.487,normal
8,front-end_cpu,-0.98,0.0767,0.2445,0.3713,normal
8,catalogue_cpu,0.36,0.0006,2.9863,0.3593,normal
8,shipping_cpu,-5.9,0.0507,0.5022,0.2776,normal
8,orders_cpu,2.81,0.0201,0.7088,0.0838,normal
8,carts_cpu,4.15,0.0442,0.874,0.0451,normal
9,catalogue_cpu,15.25,0.0269,3.7096,0.5453,normal
9,payment_cpu,-5.89,0.0187,0.0335,0.495,normal
9,front-end_cpu,-0.0,0.0004,0.0725,0.4351,normal
9,user_cpu,-0.09,0.0049,0.0346,0.3817,normal
9,shipping_cpu,-2.69,0.0231,0.5072,0.1397,normal
9,carts_cpu,8.09,0.0861,0.7891,0.0906,normal
9,orders_cpu,3.67,0.0263,0.6477,0.0803,normal
10,user_cpu,-0.51,0.0286,0.0346,0.475,normal
10,payment_cpu,-7.33,0.0233,0.0534,0.4458,normal
10,catalogue_cpu,-25.77,0.0455,0.1075,0.4351,normal
10,front-end_cpu,-0.67,0.0526,0.1743,0.2834,normal
10,orders_cpu,-5.39,0.0386,0.5358,0.2315,normal
10,shipping_cpu,-1.0,0.0086,0.6592,0.1277,normal
10,carts_cpu,0.08,0.0008,0.7738,0.0693,normal
11,catalogue_cpu,99.3,0.1752,3.8402,0.5349,normal
11,user_cpu,-1.67,0.093,0.01,0.479,normal
11,payment_cpu,-6.08,0.0194,0.0243,0.4174,normal
11,front-end_cpu,-0.14,0.0107,0.1886,0.4072,normal
11,shipping_cpu,-5.99,0.0515,0.4842,0.2315,normal
11,orders_cpu,2.57,0.0184,0.6084,0.1118,normal
11,carts_cpu,0.68,0.0072,0.8621,0.0219,normal
12,catalogue_cpu,-25.9,0.0457,0.0325,0.487,normal
12,payment_cpu,-7.36,0.0234,0.0555,0.4671,normal
12,user_cpu,-0.56,0.0313,0.0222,0.4631,normal
12,front-end_cpu,0.22,0.0168,0.0747,0.3952,normal
12,orders_cpu,-7.48,0.0535,0.4367,0.2214,normal
12,shipping_cpu,-9.12,0.0784,0.4956,0.165,normal
12,carts_cpu,-7.09,0.0755,0.6788,0.1637,normal
13,user_cpu,-0.55,0.0306,0.046,0.479,normal
13,payment_cpu,-5.43,0.0173,0.0243,0.43,normal
13,front-end_cpu,-0.31,0.0241,0.1244,0.3313,normal
13,orders_cpu,-2.92,0.0209,0.4793,0.2156,normal
13,catalogue_cpu,-16.43,0.029,0.7149,0.1357,normal
13,shipping_cpu,-2.56,0.022,0.6307,0.1198,normal
13,carts_cpu,13.41,0.1427,0.9306,0.0903,normal
14,user_cpu,-0.43,0.0237,0.065,0.491,normal
14,front-end_cpu,0.71,0.0551,0.0171,0.491,normal
14,payment_cpu,-7.46,0.0238,0.1449,0.3872,normal
14,orders_cpu,-3.76,0.0269,0.5426,0.1815,normal
14,shipping_cpu,-3.59,0.0309,0.6195,0.1477,normal
14,catalogue_cpu,-16.94,0.0299,0.7067,0.1357,normal
14,carts_cpu,5.6,0.0596,0.8526,0.0752,normal
15,catalogue_cpu,11.82,0.0209,3.3673,0.5015,normal
15,front-end_cpu,0.8,0.0625,0.0565,0.495,normal
15,user_cpu,-0.54,0.0299,0.009,0.479,normal
15,payment_cpu,-5.61,0.0179,0.007,0.4643,normal
15,shipping_cpu,5.04,0.0434,0.7673,0.1112,normal
15,orders_cpu,7.95,0.0569,0.7272,0.0998,normal
15,carts_cpu,4.37,0.0465,0.8668,0.0704,normal
16,user_cpu,-1.06,0.0588,0.004,0.4351,normal
16,front-end_cpu,-0.22,0.0174,0.1683,0.3992,normal
16,catalogue_cpu,-26.97,0.0476,0.0855,0.3912,normal
16,payment_cpu,-3.21,0.0102,0.2888,0.2881,normal
16,shipping_cpu,0.43,0.0037,0.6011,0.1122,normal
16,orders_cpu,3.27,0.0234,0.6288,0.1094,normal
16,carts_cpu,3.18,0.0338,0.7759,0.012,normal
17,payment_cpu,-5.52,0.0176,0.008,0.4838,normal
17,catalogue_cpu,-24.41,0.0431,0.0366,0.4391,normal
17,front-end_cpu,-0.52,0.0407,0.1554,0.4232,normal
17,user_cpu,0.06,0.0033,0.0618,0.4032,normal
17,shipping_cpu,-5.86,0.0504,0.5513,0.2087,normal
17,orders_cpu,-2.46,0.0176,0.5723,0.1517,normal
17,carts_cpu,-1.17,0.0125,0.7047,0.0679,normal
18,catalogue_cpu,49.61,0.0875,4.0461,0.5441,normal
18,user_cpu,-0.31,0.017,0.0294,0.4671,normal
18,payment_cpu,-5.94,0.0189,0.0202,0.4391,normal
18,front-end_cpu,-1.0,0.0781,0.1911,0.3673,normal
18,shipping_cpu,-0.74,0.0063,0.6554,0.1176,normal
18,orders_cpu,4.05,0.029,0.6651,0.0878,normal
18,carts_cpu,0.86,0.0092,0.8091,0.0119,normal
19,payment_cpu,-6.95,0.0221,0.0932,0.4511,normal
19,user_cpu,-0.0,0.0002,0.064,0.4471,normal
