label,target,repeat,scenario,true_tier,tier1_contrib,tier2_contrib,predicted_tier,correct
SockShop,catalogue_cpu,0,tier1_driven,tier1,0.23833000665336015,0.24869594145043264,tier2,False
SockShop,catalogue_cpu,0,tier2_driven,tier2,-0.04301530272787752,0.5420172987358616,tier2,True
SockShop,catalogue_cpu,1,tier1_driven,tier1,0.24797471723220216,0.251027278775782,tier2,False
SockShop,catalogue_cpu,1,tier2_driven,tier2,-0.048178310046573525,0.5431882900864935,tier2,True
SockShop,catalogue_cpu,2,tier1_driven,tier1,0.2477458416500333,0.24726413838988676,tier1,True
SockShop,catalogue_cpu,2,tier2_driven,tier2,-0.03002262142381904,0.5090645375914835,tier2,True
SockShop,catalogue_cpu,3,tier1_driven,tier1,0.4796194278110445,0.015390552228875568,tier1,True
SockShop,catalogue_cpu,3,tier2_driven,tier2,-0.03963805721889552,0.5306560212907514,tier2,True
SockShop,catalogue_cpu,4,tier1_driven,tier1,0.5350312707917496,-0.059981370592149114,tier1,True
SockShop,catalogue_cpu,4,tier2_driven,tier2,-0.04655489021956087,0.545556886227545,tier2,True
SockShop,catalogue_cpu,5,tier1_driven,tier1,0.5405216234198267,-0.06547172322022626,tier1,True
SockShop,catalogue_cpu,5,tier2_driven,tier2,-0.046618762475049896,0.5376367265469058,tier2,True
SockShop,catalogue_cpu,6,tier1_driven,tier1,0.5695489021956087,-0.07453892215568864,tier1,True
SockShop,catalogue_cpu,6,tier2_driven,tier2,-0.050573519627411856,0.5375994677312045,tier2,True
SockShop,catalogue_cpu,7,tier1_driven,tier1,0.24279973386560225,0.24422621423819046,tier2,False
SockShop,catalogue_cpu,7,tier2_driven,tier2,-0.04552095808383234,0.5405309381237524,tier2,True
SockShop,catalogue_cpu,8,tier1_driven,tier1,0.23895409181636715,0.25206387225548876,tier2,False
SockShop,catalogue_cpu,8,tier2_driven,tier2,-0.04290086493679311,0.5419028609447771,tier2,True
SockShop,catalogue_cpu,9,tier1_driven,tier1,0.5455103127079172,-0.07046041250831682,tier1,True
SockShop,catalogue_cpu,9,tier2_driven,tier2,-0.041894876912840995,0.5329128409846968,tier2,True
SockShop,orders_cpu,0,tier1_driven,tier1,0.19851363938789093,-0.04681703260146371,tier1,True
