label,target,repeat,scenario,true_tier,true_upstream,tier1_contrib,backpressure_contrib,tier2_contrib,strict_pred,strict_correct,upstream_pred,upstream_correct
SockShop,catalogue_cpu,0,tier1_driven,tier1,upstream,0.2417697937458416,0.0,0.24924817032601437,tier2,False,local,False
SockShop,catalogue_cpu,0,tier2_driven,tier2,local,-0.03780572188955426,0.0,0.5248316699933468,tier2,True,local,True
SockShop,catalogue_cpu,1,tier1_driven,tier1,upstream,0.5724963406520291,0.0,-0.07748636061210913,tier1,True,upstream,True
SockShop,catalogue_cpu,1,tier2_driven,tier2,local,-0.02928010645375912,0.0,0.5163060545575519,tier2,True,local,True
SockShop,catalogue_cpu,2,tier1_driven,tier1,upstream,0.24521224218230211,0.0,0.24979773785761802,tier2,False,local,False
SockShop,catalogue_cpu,2,tier2_driven,tier2,local,-0.04001596806387221,0.0,0.5390179640718563,tier2,True,local,True
SockShop,catalogue_cpu,3,tier1_driven,tier1,upstream,0.5658456420492352,0.0,-0.07881969394544239,tier1,True,upstream,True
SockShop,catalogue_cpu,3,tier2_driven,tier2,local,-0.044936793080505674,0.0,0.5319627411842983,tier2,True,local,True
SockShop,catalogue_cpu,4,tier1_driven,tier1,upstream,0.5618083832335329,0.0,-0.07877445109780437,tier1,True,upstream,True
SockShop,catalogue_cpu,4,tier2_driven,tier2,local,-0.03611443779108446,0.0,0.5311244178310045,tier2,True,local,True
SockShop,catalogue_cpu,5,tier1_driven,tier1,upstream,0.2422754491017966,0.0,0.24475049900199605,tier2,False,local,False
SockShop,catalogue_cpu,5,tier2_driven,tier2,local,-0.041177644710578845,0.0,0.5361876247504989,tier2,True,local,True
SockShop,catalogue_cpu,6,tier1_driven,tier1,upstream,0.47737325349301357,0.0,0.013644710578842274,tier1,True,upstream,True
SockShop,catalogue_cpu,6,tier2_driven,tier2,local,-0.03258815701929472,0.0,0.5315901530272789,tier2,True,local,True
SockShop,catalogue_cpu,7,tier1_driven,tier1,upstream,0.5633439787092482,0.0,-0.08031004657351963,tier1,True,upstream,True
SockShop,catalogue_cpu,7,tier2_driven,tier2,local,-0.027628742514970064,0.0,0.5226387225548901,tier2,True,local,True
SockShop,catalogue_cpu,8,tier1_driven,tier1,upstream,0.29898203592814393,0.0,0.18804391217564873,tier1,True,upstream,True
SockShop,catalogue_cpu,8,tier2_driven,tier2,local,-0.030246174318030596,0.0,0.5252561543579506,tier2,True,local,True
SockShop,catalogue_cpu,9,tier1_driven,tier1,upstream,0.24744510978043882,0.0,0.2515568862275453,tier2,False,local,False
SockShop,catalogue_cpu,9,tier2_driven,tier2,local,-0.03295009980039915,0.0,0.5279600798403192,tier2,True,local,True
