repeat,service,hops,group,change_pct,z_score,anomaly_score,shapley_contribution,risk_level
0,ts-auth-service,-1,unreachable,0.17,0.0124,0.045,0.479,normal
0,ts-ui-dashboard,-1,unreachable,0.54,0.045,0.112,0.4232,normal
0,ts-station-service,1,reachable,1.9,0.0423,0.2094,0.3592,normal
0,ts-order-other-service,2,reachable,0.67,0.0117,0.2094,0.3424,normal
0,ts-ticketinfo-service,1,reachable,5.32,0.1129,0.0253,0.308,normal
0,ts-train-service,2,reachable,1.85,0.0293,0.0171,0.2758,normal
0,ts-basic-service,2,reachable,3.39,0.0737,0.008,0.2616,normal
0,ts-security-service,1,reachable,7.38,0.0827,0.2942,0.2589,normal
0,ts-preserve-other-service,-1,unreachable,-10.27,0.1058,0.2717,0.2506,normal
0,ts-config-service,2,reachable,13.69,0.1729,0.874,0.2492,normal
0,ts-route-service,2,reachable,4.47,0.0778,0.457,0.2373,normal
0,ts-price-service,3,reachable,2.91,0.0315,0.5884,0.2228,normal
0,ts-seat-service,1,reachable,7.42,0.116,0.2032,0.2159,normal
0,ts-assurance-service,1,reachable,7.68,0.0744,0.4891,0.2093,normal
0,ts-food-map-service,2,reachable,2.35,0.0219,0.5022,0.1998,normal
0,ts-contacts-service,1,reachable,8.22,0.0871,0.553,0.1905,normal
0,ts-travel2-service,-1,unreachable,-0.21,0.0039,0.5513,0.1876,normal
0,ts-preserve-service,0,injection_self,35.43,0.3796,0.4229,0.1599,normal
0,ts-travel-service,1,reachable,18.25,0.2368,0.4745,0.1595,normal
0,ts-consign-price-service,-1,unreachable,3.1,0.0327,0.5273,0.1534,normal
0,ts-payment-service,-1,unreachable,-4.71,0.0471,0.4729,0.1526,normal
0,ts-order-service,1,reachable,20.91,0.2606,0.6554,0.1446,normal
0,ts-food-service,1,reachable,9.33,0.1071,0.6158,0.112,normal
0,ts-user-service,1,reachable,22.01,0.2045,0.7502,0.1114,normal
0,ts-consign-service,-1,unreachable,7.98,0.1062,0.592,0.0906,normal
0,ts-inside-payment-service,-1,unreachable,-7.57,0.0387,0.7523,0.0279,normal
0,ts-admin-basic-info-service,-1,unreachable,-1.81,0.0184,0.6158,0.016,normal
0,ts-admin-travel-service,-1,unreachable,1.53,0.0167,0.5273,0.0155,normal
1,ts-auth-service,-1,unreachable,-0.4,0.03,0.121,0.4271,normal
1,ts-ticketinfo-service,1,reachable,3.67,0.0779,0.0398,0.3193,normal
1,ts-basic-service,2,reachable,3.31,0.0721,0.1403,0.3183,normal
1,ts-price-service,3,reachable,2.49,0.0269,0.5072,0.314,normal
1,ts-ui-dashboard,-1,unreachable,-0.25,0.0211,0.1531,0.3114,normal
1,ts-order-other-service,2,reachable,0.25,0.0043,0.1142,0.3041,normal
1,ts-order-service,1,reachable,15.46,0.1927,0.6867,0.2715,normal
1,ts-config-service,2,reachable,6.25,0.079,0.5884,0.27,normal
1,ts-route-service,2,reachable,1.52,0.0264,0.32,0.2634,normal
1,ts-train-service,2,reachable,0.29,0.0046,0.006,0.2601,normal
1,ts-travel-service,1,reachable,10.24,0.1328,0.1461,0.2556,normal
1,ts-seat-service,1,reachable,7.9,0.1236,0.3987,0.2379,normal
1,ts-station-service,1,reachable,5.57,0.1237,0.3437,0.2322,normal
1,ts-security-service,1,reachable,19.7,0.2209,0.4923,0.2073,normal
1,ts-food-service,1,reachable,6.95,0.0798,0.567,0.2042,normal
1,ts-assurance-service,1,reachable,8.79,0.0853,0.4367,0.1845,normal
1,ts-travel2-service,-1,unreachable,0.59,0.011,0.3708,0.1677,normal
1,ts-food-map-service,2,reachable,3.87,0.0359,0.5582,0.1669,normal
1,ts-consign-service,-1,unreachable,5.13,0.0682,0.4633,0.1653,normal
1,ts-inside-payment-service,-1,unreachable,-17.16,0.0876,0.5222,0.1604,normal
1,ts-consign-price-service,-1,unreachable,3.72,0.0392,0.5341,0.1597,normal
1,ts-preserve-service,0,injection_self,36.32,0.3891,0.4507,0.1481,normal
1,ts-payment-service,-1,unreachable,0.54,0.0054,0.5992,0.1191,normal
1,ts-admin-basic-info-service,-1,unreachable,0.05,0.0005,0.6102,0.0968,normal
1,ts-user-service,1,reachable,30.23,0.281,0.8503,0.0933,normal
1,ts-admin-travel-service,-1,unreachable,1.82,0.0198,0.5565,0.0794,normal
1,ts-contacts-service,1,reachable,17.56,0.1861,0.6554,0.0664,normal
1,ts-preserve-other-service,-1,unreachable,5.2,0.0535,0.642,0.0425,normal
2,ts-ui-dashboard,-1,unreachable,0.24,0.0203,0.1826,0.4351,normal
2,ts-station-service,1,reachable,-0.23,0.005,0.1554,0.3719,normal
2,ts-auth-service,-1,unreachable,-0.69,0.0516,0.1153,0.3393,normal
