scenario,target_service,fault_type,run_id,metric,other_service,n_pre,n_post,causal_RB~WB_pre,causal_RB~WB_post,causal_RB~WB_degrade,assoc_RB~RA_pre,assoc_RB~RA_post,assoc_RB~RA_degrade,assoc_RB~WA_pre,assoc_RB~WA_post,assoc_RB~WA_degrade
carts_cpu,carts,cpu,1,cpu,front-end,720,721,7.803,7.606,-0.197,7.833,20.986,13.153,7.81,7.652,-0.158
carts_cpu,carts,cpu,1,cpu,catalogue,720,721,9.163,11.448,2.285,9.115,56.369,47.253,9.125,11.772,2.647
carts_cpu,carts,cpu,1,cpu,user,719,721,8.36,6.864,-1.496,8.194,142.662,134.468,8.363,6.869,-1.494
carts_cpu,carts,cpu,1,cpu,orders,720,721,17.836,21.761,3.925,17.845,118.846,101.001,17.836,21.761,3.925
carts_cpu,carts,cpu,1,cpu,payment,720,721,6.935,7.362,0.427,6.919,97.257,90.338,6.926,7.398,0.473
carts_cpu,carts,cpu,1,cpu,shipping,720,721,28.143,36.947,8.805,28.104,256.985,228.88,28.142,36.942,8.8
carts_cpu,carts,cpu,1,mem,front-end,720,721,3.79,4.092,0.302,3.841,4.063,0.222,3.822,4.074,0.252
carts_cpu,carts,cpu,1,mem,catalogue,720,721,0.226,0.628,0.402,0.09,2.641,2.551,0.226,0.628,0.402
carts_cpu,carts,cpu,1,mem,user,720,721,0.385,0.987,0.602,0.131,4.82,4.689,0.385,0.987,0.602
carts_cpu,carts,cpu,1,mem,orders,720,721,0.054,0.09,0.035,0.055,0.09,0.035,0.054,0.089,0.035
carts_cpu,carts,cpu,1,mem,payment,720,721,0.481,1.503,1.022,0.344,6.396,6.051,0.481,1.503,1.022
carts_cpu,carts,cpu,1,mem,shipping,720,721,0.055,0.028,-0.027,0.055,0.028,-0.027,0.054,0.03,-0.025
carts_cpu,carts,cpu,2,cpu,front-end,720,721,5.964,10.791,4.827,6.034,282.9,276.866,6.188,10.503,4.315
carts_cpu,carts,cpu,2,cpu,catalogue,720,721,10.723,8.124,-2.599,10.935,8.102,-2.833,10.935,8.102,-2.833
carts_cpu,carts,cpu,2,cpu,user,720,721,6.761,7.554,0.793,7.012,376.297,369.285,6.947,7.592,0.645
carts_cpu,carts,cpu,2,cpu,orders,720,721,30.873,33.901,3.028,30.873,33.901,3.028,30.873,33.901,3.028
carts_cpu,carts,cpu,2,cpu,payment,720,721,9.356,8.158,-1.198,9.387,176.474,167.087,9.356,8.158,-1.198
carts_cpu,carts,cpu,2,cpu,shipping,720,721,37.593,46.348,8.754,37.593,46.348,8.754,37.593,46.348,8.754
carts_cpu,carts,cpu,2,mem,front-end,720,721,3.934,3.367,-0.567,3.939,3.374,-0.564,3.938,3.363,-0.575
carts_cpu,carts,cpu,2,mem,catalogue,720,721,0.141,0.764,0.624,0.141,0.764,0.624,0.141,0.764,0.624
carts_cpu,carts,cpu,2,mem,user,720,721,0.31,0.809,0.499,0.314,0.79,0.476,0.312,0.797,0.485
