scenario,run_id,metric,svc_a,svc_b,same_node,call_edge,partial_corr,abs_partial_corr,n
carts_cpu,1,cpu,front-end,catalogue,False,True,-0.1077,0.1077,720
carts_cpu,1,cpu,front-end,user,False,True,0.1595,0.1595,719
carts_cpu,1,cpu,front-end,carts,False,True,0.0155,0.0155,720
carts_cpu,1,cpu,front-end,orders,False,True,0.0857,0.0857,720
carts_cpu,1,cpu,front-end,payment,True,False,0.1656,0.1656,720
carts_cpu,1,cpu,front-end,shipping,True,False,-0.0729,0.0729,720
carts_cpu,1,cpu,catalogue,user,False,False,-0.0108,0.0108,719
carts_cpu,1,cpu,catalogue,carts,False,False,0.0242,0.0242,720
carts_cpu,1,cpu,catalogue,orders,False,False,0.008,0.008,720
carts_cpu,1,cpu,catalogue,payment,False,False,-0.0413,0.0413,720
carts_cpu,1,cpu,catalogue,shipping,False,False,0.006,0.006,720
carts_cpu,1,cpu,user,carts,True,False,0.0968,0.0968,719
carts_cpu,1,cpu,user,orders,True,True,0.0729,0.0729,719
carts_cpu,1,cpu,user,payment,False,False,0.2678,0.2678,719
carts_cpu,1,cpu,user,shipping,False,False,0.0664,0.0664,719
carts_cpu,1,cpu,carts,orders,True,True,0.0343,0.0343,720
carts_cpu,1,cpu,carts,payment,False,False,0.0914,0.0914,720
carts_cpu,1,cpu,carts,shipping,False,False,0.0387,0.0387,720
carts_cpu,1,cpu,orders,payment,False,True,0.0106,0.0106,720
carts_cpu,1,cpu,orders,shipping,False,True,0.2723,0.2723,720
carts_cpu,1,cpu,payment,shipping,True,False,0.0204,0.0204,720
carts_cpu,1,mem,front-end,catalogue,False,True,-0.0568,0.0568,720
carts_cpu,1,mem,front-end,user,False,True,-0.0678,0.0678,720
carts_cpu,1,mem,front-end,carts,False,True,-0.1041,0.1041,720
carts_cpu,1,mem,front-end,orders,False,True,0.0604,0.0604,720
carts_cpu,1,mem,front-end,payment,True,False,0.0096,0.0096,720
carts_cpu,1,mem,front-end,shipping,True,False,0.0842,0.0842,720
carts_cpu,1,mem,catalogue,user,False,False,0.8967,0.8967,720
carts_cpu,1,mem,catalogue,carts,False,False,0.8931,0.8931,720
carts_cpu,1,mem,catalogue,orders,False,False,-0.5586,0.5586,720
carts_cpu,1,mem,catalogue,payment,False,False,0.6735,0.6735,720
carts_cpu,1,mem,catalogue,shipping,False,False,-0.7436,0.7436,720
carts_cpu,1,mem,user,carts,True,False,0.9221,0.9221,720
carts_cpu,1,mem,user,orders,True,True,-0.4971,0.4971,720
carts_cpu,1,mem,user,payment,False,False,0.6949,0.6949,720
carts_cpu,1,mem,user,shipping,False,False,-0.7151,0.7151,720
carts_cpu,1,mem,carts,orders,True,True,-0.54,0.54,720
carts_cpu,1,mem,carts,payment,False,False,0.6939,0.6939,720
carts_cpu,1,mem,carts,shipping,False,False,-0.6262,0.6262,720
carts_cpu,1,mem,orders,payment,False,True,-0.5249,0.5249,720
carts_cpu,1,mem,orders,shipping,False,True,0.3575,0.3575,720
carts_cpu,1,mem,payment,shipping,True,False,-0.38,0.38,720
carts_cpu,2,cpu,front-end,catalogue,False,True,0.0212,0.0212,720
carts_cpu,2,cpu,front-end,user,False,True,0.1543,0.1543,720
carts_cpu,2,cpu,front-end,carts,False,True,0.1923,0.1923,720
carts_cpu,2,cpu,front-end,orders,False,True,0.0446,0.0446,720
carts_cpu,2,cpu,front-end,payment,False,False,0.204,0.204,720
carts_cpu,2,cpu,front-end,shipping,False,False,0.022,0.022,720
carts_cpu,2,cpu,catalogue,user,True,False,0.0521,0.0521,720
carts_cpu,2,cpu,catalogue,carts,False,False,-0.2228,0.2228,720
carts_cpu,2,cpu,catalogue,orders,True,False,0.0608,0.0608,720
carts_cpu,2,cpu,catalogue,payment,True,False,0.1379,0.1379,720
carts_cpu,2,cpu,catalogue,shipping,False,False,0.0406,0.0406,720
carts_cpu,2,cpu,user,carts,False,False,0.2332,0.2332,720
carts_cpu,2,cpu,user,orders,True,True,-0.0412,0.0412,720
