service,metric,mechanism,mape_pct,mae,rmse,r2,f1_threshold_cross,n_test_buckets,used_sigmoid
front-end,CPU,linear_pos,3.1196854538371803,0.13982661625704107,0.1650531571048401,-1.891049314907669,0.4,8,
front-end,CPU,hgbr_mono,2.11473254917926,0.09426007829895044,0.12060027989249114,-0.5434922727617146,0.0,8,
front-end,CPU,sigmoid_sat,2.640680965354183,0.11848064114780577,0.14331066273056695,-1.1795399652524052,0.5,8,True
catalogue,CPU,linear_pos,90.68015212447787,0.16988646374721358,0.20034419238303997,-6.2544023527512165,1.0,7,
catalogue,CPU,hgbr_mono,117.91505815494638,0.2443248644751787,0.25906806638234875,-11.130421495231897,1.0,7,
catalogue,CPU,sigmoid_sat,1305.1808258535718,2.5347626279017774,3.902638613321409,-2751.737496439377,0.0,7,True
user,CPU,linear_pos,4.857654645752205,0.045189192295064184,0.051027594148183045,-1.9913231946529604,0.5,8,
user,CPU,hgbr_mono,2.4667290772221993,0.023334922368285604,0.030356682398838025,-0.058672829033674656,0.0,8,
user,CPU,sigmoid_sat,4.592252085363893,0.042713274167146584,0.046644455948299454,-1.4995004367879234,0.5,8,True
carts,CPU,linear_pos,25.10201595945321,0.5226573778038118,0.5527400337863215,-3.530573747159706,1.0,8,
carts,CPU,hgbr_mono,20.043027540213753,0.4144702642266282,0.45347271440506537,-2.0493949988407527,1.0,8,
carts,CPU,sigmoid_sat,23.9993377856271,0.5029220134174677,0.5273835833743156,-3.1244360683532113,1.0,8,False
orders,CPU,linear_pos,13.312413407666462,0.394102199105187,0.6796757518010528,-0.328708946007076,0.0,7,
orders,CPU,hgbr_mono,17.990585917853288,0.4586776641901488,0.6340546878295144,-0.1563245391041399,0.0,7,
orders,CPU,sigmoid_sat,217.69889483583805,6.00612334248993,10.466169657573232,-314.0662235063738,0.3333333333333333,7,True
payment,CPU,linear_pos,2.083110044993808,0.0018283007882390445,0.002216987075947728,-0.22962819422143865,1.0,7,
payment,CPU,hgbr_mono,2.139541335146091,0.001921626457178757,0.003028898058329458,-1.2951802779022659,1.0,7,
payment,CPU,sigmoid_sat,2324.083743426934,2.036689525693674,2.274723480102125,-1294506.916907337,0.0,7,True
shipping,CPU,linear_pos,7.490482205500032,0.052712726414656394,0.0734391901845973,0.17958227620645262,1.0,8,
shipping,CPU,hgbr_mono,11.429517281033661,0.07690989245958037,0.10181773826914772,-0.5769799320638387,1.0,8,
shipping,CPU,sigmoid_sat,897.7951189883445,6.215502670164917,8.04501899837188,-9844.401319129276,0.0,8,True
front-end,Memory,linear_pos,1.7227820494208541,1778149.716343196,1918542.9747596101,-7.5483345177642835,1.0,8,
front-end,Memory,hgbr_mono,4.595911273403523,4747896.04331395,4778039.605150324,-52.01978179419478,1.0,8,
front-end,Memory,sigmoid_sat,185.02930492618773,191198387.6297618,250281988.58024,-145477.10635555786,0.0,8,True
catalogue,Memory,linear_pos,0.8197671980704982,50107.64153913728,57936.02553020989,-0.8730065301841519,1.0,7,
catalogue,Memory,hgbr_mono,1.0210257101134366,62352.546280991686,74541.02918289196,-2.1005066224177695,1.0,7,
catalogue,Memory,sigmoid_sat,0.9680660603513932,59062.87313813464,75224.57578288023,-2.157631082247451,1.0,7,False
user,Memory,linear_pos,1.7839743584625534,141386.70721560845,178707.12974658964,-1.1320593512841852,1.0,8,
user,Memory,hgbr_mono,1.7542071791591125,138976.1436820596,174761.6890479451,-1.0389566761493585,1.0,8,
user,Memory,sigmoid_sat,1.9264506324547213,152901.9595792452,191124.81237118642,-1.4386511299805393,1.0,8,False
carts,Memory,linear_pos,1.1288301088478163,2391891.0056726076,2823696.549477239,-0.4497715846763717,1.0,8,
carts,Memory,hgbr_mono,2.757594744244813,5829620.6486444995,6446557.012011666,-6.556474007000706,1.0,8,
carts,Memory,sigmoid_sat,1.391693593287876,2950276.15767261,3250952.4392974996,-0.9216963663631437,1.0,8,False
orders,Memory,linear_pos,1.0191716677563938,3359703.5069461637,3595694.086715154,-0.26862650427049495,1.0,7,
orders,Memory,hgbr_mono,1.097964079194268,3613842.603954647,4079208.0401924322,-0.6327512264907538,1.0,7,
orders,Memory,sigmoid_sat,0.875190700669421,2893727.3332318836,3076098.9863846423,0.07152776329235022,1.0,7,False
payment,Memory,linear_pos,0.7859178209010975,35846.55842984055,42271.215779222795,-0.1019889924113413,1.0,7,
payment,Memory,hgbr_mono,0.7084688301441213,32283.237333806366,44825.198491437965,-0.23917379651274429,1.0,7,
payment,Memory,sigmoid_sat,0.9317419213091649,42342.939106936035,57461.58064172786,-1.0363054105607548,1.0,7,True
