caller,callee,r2_baseline,r2_extended,r2_gain,n_rows
ts-ticketinfo-service,ts-basic-service,0.1856,0.782,0.5964,64784
ts-travel2-service,ts-train-service,0.105,0.7002,0.5952,64775
ts-travel2-service,ts-seat-service,0.0365,0.6159,0.5794,58305
ts-seat-service,ts-config-service,0.0814,0.6539,0.5724,64782
ts-basic-service,ts-train-service,0.105,0.6659,0.5609,64773
ts-travel2-service,ts-ticketinfo-service,0.1617,0.6891,0.5274,64786
ts-travel2-service,ts-order-other-service,0.1522,0.6504,0.4982,64774
ts-basic-service,ts-price-service,0.0509,0.5276,0.4767,64788
ts-travel-service,ts-seat-service,0.0365,0.5069,0.4704,58304
ts-seat-service,ts-order-other-service,0.1522,0.6208,0.4686,64769
ts-basic-service,ts-route-service,0.0614,0.4943,0.4328,64786
ts-travel-service,ts-train-service,0.105,0.5279,0.4229,64771
ts-travel-service,ts-ticketinfo-service,0.1617,0.5733,0.4117,64782
ts-travel2-service,ts-route-service,0.0614,0.4654,0.404,64788
ts-food-service,ts-travel-service,0.0342,0.359,0.3248,64778
ts-travel-service,ts-route-service,0.0614,0.379,0.3176,64784
ts-food-service,ts-food-map-service,0.0046,0.3056,0.301,64786
ts-seat-service,ts-order-service,0.0507,0.2997,0.249,64774
ts-travel-service,ts-order-service,0.0507,0.2903,0.2396,64775
ts-preserve-service,ts-security-service,0.0269,0.2665,0.2396,58270
ts-preserve-service,ts-seat-service,0.0365,0.2643,0.2278,58294
ts-preserve-service,ts-contacts-service,0.0254,0.2474,0.2219,58280
ts-preserve-service,ts-ticketinfo-service,0.1617,0.3766,0.215,64775
ts-admin-basic-info-service,ts-price-service,0.0509,0.2636,0.2127,64793
ts-admin-basic-info-service,ts-config-service,0.0814,0.291,0.2096,64790
ts-preserve-service,ts-user-service,0.0123,0.2184,0.2061,58256
ts-basic-service,ts-station-service,0.2291,0.4326,0.2034,64782
ts-preserve-service,ts-travel-service,0.0344,0.2331,0.1988,64775
ts-order-other-service,ts-station-service,0.229,0.4211,0.1921,64768
ts-preserve-other-service,ts-security-service,0.0269,0.218,0.1911,58278
ts-consign-service,ts-consign-price-service,0.0178,0.2013,0.1835,64792
ts-preserve-other-service,ts-user-service,0.0121,0.193,0.1809,58262
ts-security-service,ts-order-other-service,0.1522,0.3218,0.1697,64777
ts-preserve-service,ts-assurance-service,0.0186,0.1797,0.1612,64768
ts-preserve-service,ts-food-service,0.007,0.1569,0.1499,64771
ts-admin-travel-service,ts-travel2-service,0.1156,0.2638,0.1481,64786
ts-admin-travel-service,ts-travel-service,0.0342,0.1753,0.1411,64782
ts-preserve-other-service,ts-travel2-service,0.1156,0.2543,0.1387,64787
ts-security-service,ts-order-service,0.0507,0.1817,0.131,64782
ts-preserve-other-service,ts-seat-service,0.0365,0.1673,0.1308,58302
ts-preserve-other-service,ts-assurance-service,0.0186,0.1481,0.1296,64776
ts-preserve-other-service,ts-contacts-service,0.0255,0.1535,0.128,58288
ts-preserve-other-service,ts-ticketinfo-service,0.1617,0.2845,0.1228,64783
ts-preserve-other-service,ts-order-other-service,0.1522,0.2652,0.113,64771
ts-preserve-service,ts-order-service,0.0507,0.1512,0.1004,64768
ts-preserve-other-service,ts-food-service,0.007,0.0947,0.0878,64779
ts-food-service,ts-station-service,0.2292,0.2958,0.0666,64776
ts-order-service,ts-station-service,0.229,0.2912,0.0622,64773
ts-inside-payment-service,ts-payment-service,0.0602,0.109,0.0488,64756
ts-preserve-service,ts-station-service,0.2292,0.261,0.0318,64773
ts-preserve-other-service,ts-station-service,0.2291,0.2416,0.0125,64781
ts-inside-payment-service,ts-order-other-service,0.1522,0.1592,0.007,64776
ts-inside-payment-service,ts-order-service,0.0507,0.0561,0.0054,64781
ts-ui-dashboard,ts-admin-basic-info-service,0.0003,0.0003,-0.0,64789
ts-ui-dashboard,ts-admin-travel-service,0.0017,0.0017,0.0,64782
ts-ui-dashboard,ts-consign-service,0.029,0.029,0.0,64789
ts-ui-dashboard,ts-contacts-service,0.0255,0.0255,-0.0,58287
ts-ui-dashboard,ts-food-service,0.007,0.007,0.0,64778
ts-ui-dashboard,ts-inside-payment-service,0.0048,0.0048,0.0,64788
ts-ui-dashboard,ts-order-other-service,0.1521,0.1521,0.0,64770
ts-ui-dashboard,ts-order-service,0.0507,0.0507,-0.0,64775
ts-ui-dashboard,ts-preserve-other-service,0.0522,0.0522,0.0,58231
ts-ui-dashboard,ts-preserve-service,0.0496,0.0496,0.0,58206
ts-ui-dashboard,ts-travel-service,0.0342,0.0342,0.0,64782
ts-ui-dashboard,ts-travel2-service,0.1156,0.1156,-0.0,64786
ts-ui-dashboard,ts-user-service,0.0121,0.0121,0.0,58261
