service,metric,mode,n_train,shuffled,n_test,model,skill,r2_signal,lambda
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,constant,0.0,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,persistence,-0.16355298916639094,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,NNLS_deployed,0.4171051532481401,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,LinearReg,0.4171057580343882,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,Queueing,0.43377017787922956,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,GradBoost,0.6236661174343994,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,ElasticityPrior,0.2544045333131679,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,indist,30,False,18,ElasticityPooled,0.4136812256878307,0.48802682210031006,0.9690428849424536
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,constant,0.0,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,persistence,0.14575132762806708,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,NNLS_deployed,0.5122658780622364,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,LinearReg,0.5122653040123608,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,Queueing,0.6266041277317171,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,GradBoost,0.1591086207477742,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,ElasticityPrior,0.44719495668746034,0.48802682210031006,
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,cpu,ood,30,False,20,ElasticityPooled,0.5015808365776253,0.48802682210031006,0.8264045161152784
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,constant,0.0,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,persistence,-1.5970325991402126,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,NNLS_deployed,-0.0008479640871088545,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,LinearReg,-0.0008486795661535318,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,Queueing,-0.0008483729322772415,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,GradBoost,-0.776407776812521,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,ElasticityPrior,-0.0014540770493811639,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,indist,30,False,18,ElasticityPooled,-0.001247405816714231,0.008592823900753888,0.3134043322212458
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,ood,30,False,20,constant,0.0,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,ood,30,False,20,persistence,-0.3908102328010956,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,ood,30,False,20,NNLS_deployed,-8.459543002341482,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,ood,30,False,20,LinearReg,-8.459544842082746,0.008592823900753888,
02b687d8b09f6903892c2d15ea8e4a84e0210896c85378be3f498d647db8e37e,cpu,ood,30,False,20,Queueing,-8.459550361306542,0.008592823900753888,
