threshold,refusal_precision,refusal_recall,f1,false_positive_on_legit,evasions_remaining
0.7,,0.0,,0,11
0.71,,0.0,,0,11
0.72,,0.0,,0,11
0.73,,0.0,,0,11
0.74,,0.0,,0,11
0.75,,0.0,,0,11
0.76,,0.0,,0,11
0.77,,0.0,,0,11
0.78,,0.0,,0,11
0.79,0.0,0.0,,3,11
0.8,0.0,0.0,,11,11
0.81,0.0,0.0,,24,11
0.82,0.032,0.091,0.048,30,10
0.83,0.13,0.545,0.211,40,5
0.84,0.189,0.909,0.312,43,1
0.85,0.19,1.0,0.319,47,0
0.86,0.183,1.0,0.31,49,0
0.87,0.18,1.0,0.306,50,0
0.88,0.18,1.0,0.306,50,0
0.89,0.18,1.0,0.306,50,0
0.9,0.18,1.0,0.306,50,0
0.91,0.18,1.0,0.306,50,0
0.92,0.18,1.0,0.306,50,0
0.93,0.18,1.0,0.306,50,0
0.94,0.18,1.0,0.306,50,0
0.95,0.18,1.0,0.306,50,0
