threshold,refusal_precision,refusal_recall,f1,false_positive_on_legit,evasions_remaining
0.7,,0.0,,0,11
0.71,,0.0,,0,11
0.72,,0.0,,0,11
0.73,0.0,0.0,,2,11
0.74,0.0,0.0,,3,11
0.75,0.0,0.0,,6,11
0.76,0.0,0.0,,10,11
0.77,0.0,0.0,,16,11
0.78,0.045,0.091,0.061,21,10
0.79,0.033,0.091,0.049,29,10
0.8,0.07,0.273,0.111,40,8
0.81,0.104,0.455,0.169,43,6
0.82,0.151,0.727,0.25,45,3
0.83,0.172,0.909,0.29,48,1
0.84,0.183,1.0,0.31,49,0
0.85,0.18,1.0,0.306,50,0
0.86,0.18,1.0,0.306,50,0
0.87,0.18,1.0,0.306,50,0
0.88,0.18,1.0,0.306,50,0
0.89,0.18,1.0,0.306,50,0
0.9,0.18,1.0,0.306,50,0
0.91,0.18,1.0,0.306,50,0
0.92,0.18,1.0,0.306,50,0
0.93,0.18,1.0,0.306,50,0
0.94,0.18,1.0,0.306,50,0
0.95,0.18,1.0,0.306,50,0
