threshold,refusal_precision,refusal_recall,f1,false_positive_on_legit,evasions_remaining
0.7,,0.0,,0,11
0.71,,0.0,,0,11
0.72,,0.0,,0,11
0.73,,0.0,,0,11
0.74,,0.0,,0,11
0.75,,0.0,,0,11
0.76,,0.0,,0,11
0.77,,0.0,,0,11
0.78,0.0,0.0,,3,11
0.79,0.0,0.0,,6,11
0.8,0.0,0.0,,20,11
0.81,0.067,0.182,0.098,28,9
0.82,0.122,0.455,0.192,36,6
0.83,0.151,0.727,0.25,45,3
0.84,0.186,1.0,0.314,48,0
0.85,0.186,1.0,0.314,48,0
0.86,0.18,1.0,0.306,50,0
0.87,0.18,1.0,0.306,50,0
0.88,0.18,1.0,0.306,50,0
0.89,0.18,1.0,0.306,50,0
0.9,0.18,1.0,0.306,50,0
0.91,0.18,1.0,0.306,50,0
0.92,0.18,1.0,0.306,50,0
0.93,0.18,1.0,0.306,50,0
0.94,0.18,1.0,0.306,50,0
0.95,0.18,1.0,0.306,50,0
