system,service,metric,unit,mape_pct,mape_full_res_pct,rmse,rmse_full_res,r2,r2_full_res,n_train,n_test_full_res,wl_train_range,wl_test_range
TrainTicket,ts-admin-basic-info-service,CPU,%,18.08,49.83,0.1185,0.6022,-5.372,-0.024,14470,7128,0.3-0.7,0.7-1.1
TrainTicket,ts-admin-travel-service,CPU,%,21.28,87.91,0.1234,0.5196,-17.69,-0.024,14472,7128,0.1-0.3,0.3-0.6
TrainTicket,ts-assurance-service,CPU,%,17.98,59.43,0.1079,0.4992,-2.433,-0.029,14464,7125,0.0-0.4,0.4-1.5
TrainTicket,ts-auth-service,CPU,%,5.77,11.29,1.0408,2.2128,-2.974,-0.09,14472,7128,0.0-2.9,2.9-3.7
TrainTicket,ts-basic-service,CPU,%,10.4,16.83,0.8232,2.9855,-4.407,-0.066,14467,7127,4.9-34.3,34.3-51.5
TrainTicket,ts-config-service,CPU,%,67.69,123.34,1.3273,2.1283,-93.076,-0.637,14469,7128,0.2-9.4,9.4-14.5
TrainTicket,ts-consign-price-service,CPU,%,22.15,54.21,0.099,0.4893,-43.127,-0.05,14471,7128,0.0-0.3,0.3-1.0
TrainTicket,ts-consign-service,CPU,%,11.27,61.99,0.0629,0.3957,-0.223,-0.0,14472,7128,0.0-0.3,0.3-0.9
TrainTicket,ts-contacts-service,CPU,%,20.55,65.36,0.1643,0.6214,-2.585,-0.037,14462,7124,0.0-0.5,0.5-1.9
TrainTicket,ts-food-map-service,CPU,%,24.26,58.96,0.2656,1.0455,-8.139,-0.053,14472,7128,0.0-1.6,1.6-3.4
TrainTicket,ts-food-service,CPU,%,8.72,63.95,0.1123,0.9644,-1.856,-0.005,14468,7127,0.0-0.9,0.9-2.1
TrainTicket,ts-inside-payment-service,CPU,%,14.89,63.86,0.1005,0.9817,-7.074,-0.012,14472,7128,0.0-0.3,0.3-0.8
TrainTicket,ts-order-other-service,CPU,%,4.69,34.76,0.2027,1.9401,-0.26,-0.003,14469,7128,0.0-8.9,8.9-14.8
TrainTicket,ts-order-service,CPU,%,29.53,80.13,1.0376,3.1149,-11.365,-0.114,14469,7127,0.0-6.8,6.8-12.9
TrainTicket,ts-payment-service,CPU,%,29.76,47.06,0.1337,0.3372,-3.63,-0.082,14469,7127,0.0-0.1,0.1-0.5
TrainTicket,ts-preserve-other-service,CPU,%,15.7,81.39,0.0612,0.4394,0.514,0.033,14455,7120,0.0-0.1,0.1-0.5
TrainTicket,ts-preserve-service,CPU,%,21.37,87.4,0.085,0.571,0.183,0.008,14446,7116,0.0-0.1,0.1-0.7
TrainTicket,ts-price-service,CPU,%,13.68,50.14,0.2616,1.6346,-2.239,-0.019,14471,7128,0.1-5.1,5.1-7.7
TrainTicket,ts-route-service,CPU,%,18.54,36.43,1.0347,2.599,-9.49,-0.169,14472,7128,0.0-35.2,35.2-53.0
TrainTicket,ts-seat-service,CPU,%,34.93,61.18,1.2674,2.4075,-25.304,-0.361,14467,7126,0.0-9.3,9.3-14.7
TrainTicket,ts-security-service,CPU,%,12.01,70.62,0.1116,0.5334,-1.167,-0.007,14461,7124,0.0-0.3,0.3-0.9
TrainTicket,ts-station-service,CPU,%,7.3,22.66,0.8566,3.6264,-3.255,-0.045,14470,7128,6.5-50.9,50.9-81.1
TrainTicket,ts-ticketinfo-service,CPU,%,5.22,19.23,0.3608,2.2741,-0.177,-0.004,14467,7127,4.8-34.3,34.3-50.1
TrainTicket,ts-train-service,CPU,%,11.52,18.61,0.5243,2.5612,-3.682,-0.033,14464,7125,0.0-21.8,21.8-33.1
TrainTicket,ts-travel-service,CPU,%,8.64,44.58,0.4308,2.8894,-0.936,-0.011,14469,7127,0.0-9.9,9.9-18.9
TrainTicket,ts-travel2-service,CPU,%,6.17,22.63,0.4854,3.1909,-0.09,-0.002,14471,7128,2.4-14.1,14.1-21.3
TrainTicket,ts-ui-dashboard,CPU,%,3.23,9.67,0.0073,0.0233,-3.777,-0.08,14472,7128,3.0-4.8,4.8-6.6
TrainTicket,ts-user-service,CPU,%,52.23,51.34,0.267,0.624,-1305.105,-0.104,14455,7120,0.0-0.3,0.3-0.9
TrainTicket,ts-admin-basic-info-service,Memory,MB,0.54,2.38,1.3428,6.9578,-7.411,-0.023,14472,7128,0.3-0.7,0.7-1.1
TrainTicket,ts-admin-travel-service,Memory,MB,0.16,2.52,0.3828,7.1617,-7.846,-0.001,14472,7128,0.1-0.3,0.3-0.6
TrainTicket,ts-assurance-service,Memory,MB,0.57,2.7,1.4574,8.1768,-8.438,-0.04,14467,7126,0.0-0.4,0.4-1.5
TrainTicket,ts-auth-service,Memory,MB,0.49,2.62,1.4883,21.792,-0.152,-0.001,14472,7128,0.0-2.9,2.9-3.7
TrainTicket,ts-basic-service,Memory,MB,0.77,1.65,1.9449,4.7602,-26.045,-0.19,14472,7128,4.9-34.3,34.3-51.5
TrainTicket,ts-config-service,Memory,MB,0.47,1.15,1.2399,3.7228,-13.564,-0.113,14472,7128,0.2-9.4,9.4-14.5
TrainTicket,ts-consign-price-service,Memory,MB,0.25,2.42,0.7482,7.3384,-0.129,-0.0,14472,7128,0.0-0.3,0.3-1.0
TrainTicket,ts-consign-service,Memory,MB,0.32,2.52,0.9295,8.2865,-0.516,-0.003,14472,7128,0.0-0.3,0.3-0.9
TrainTicket,ts-contacts-service,Memory,MB,0.49,2.66,1.5448,8.1188,-1.45,-0.023,14462,7124,0.0-0.5,0.5-1.9
TrainTicket,ts-food-map-service,Memory,MB,0.4,2.45,1.1685,7.9647,-3.134,-0.013,14472,7128,0.0-1.6,1.6-3.4
TrainTicket,ts-food-service,Memory,MB,0.12,2.3,0.3378,7.5186,-0.405,-0.001,14472,7128,0.0-0.9,0.9-2.1
TrainTicket,ts-inside-payment-service,Memory,MB,0.34,2.82,1.0094,8.9972,-0.987,-0.007,14472,7128,0.0-0.3,0.3-0.8
TrainTicket,ts-order-other-service,Memory,MB,1.49,2.6,4.4043,12.6675,-6.524,-0.117,14472,7128,0.0-8.9,8.9-14.8
TrainTicket,ts-order-service,Memory,MB,1.2,6.7,3.8395,33.9838,-0.131,-0.002,14472,7128,0.0-6.8,6.8-12.9
TrainTicket,ts-payment-service,Memory,MB,0.21,2.28,0.541,6.5487,-0.005,-0.0,14472,7128,0.0-0.1,0.1-0.5
TrainTicket,ts-preserve-other-service,Memory,MB,4.68,3.79,14.1634,11.4112,-176.07,-0.772,14457,7121,0.0-0.1,0.1-0.5
TrainTicket,ts-preserve-service,Memory,MB,0.43,2.93,1.1251,8.5573,-0.279,-0.013,14452,7119,0.0-0.1,0.1-0.7
TrainTicket,ts-price-service,Memory,MB,0.12,1.28,0.3917,4.3511,-0.402,-0.002,14472,7128,0.1-5.1,5.1-7.7
TrainTicket,ts-route-service,Memory,MB,0.44,2.6,1.5218,18.2698,-0.002,-0.0,14472,7128,0.0-35.2,35.2-53.0
TrainTicket,ts-seat-service,Memory,MB,0.21,1.38,0.6355,3.9801,-0.628,-0.01,14472,7128,0.0-9.3,9.3-14.7
TrainTicket,ts-security-service,Memory,MB,0.21,2.79,0.6548,8.7973,-1.811,-0.007,14461,7124,0.0-0.3,0.3-0.9
TrainTicket,ts-station-service,Memory,MB,0.32,2.24,1.0303,8.1793,-0.021,-0.0,14472,7128,6.5-50.9,50.9-81.1
TrainTicket,ts-ticketinfo-service,Memory,MB,0.39,2.27,1.1857,6.6472,-0.107,-0.003,14472,7128,4.8-34.3,34.3-50.1
TrainTicket,ts-train-service,Memory,MB,0.29,2.2,0.9244,6.9608,-0.383,-0.005,14472,7128,0.0-21.8,21.8-33.1
TrainTicket,ts-travel-service,Memory,MB,3.46,4.73,9.7954,24.3023,-17.384,-0.182,14472,7128,0.0-9.9,9.9-18.9
TrainTicket,ts-travel2-service,Memory,MB,0.44,1.34,1.3561,4.7561,-4.47,-0.068,14472,7128,2.4-14.1,14.1-21.3
TrainTicket,ts-ui-dashboard,Memory,MB,0.28,1.03,0.0134,0.053,-1.329,-0.035,14472,7128,3.0-4.8,4.8-6.6
