system,service,metric,model,mape_full_res_pct,rmse_full_res,r2_full_res,n_train,n_fit,n_test_full_res
TrainTicket,ts-admin-basic-info-service,CPU,LinearReg,72.33,0.6505,0.0,43414,2000,21384
TrainTicket,ts-admin-basic-info-service,CPU,GradBoost,72.67,0.6507,-0.0,43414,2000,21384
TrainTicket,ts-admin-basic-info-service,CPU,GaussianProcess,71.81,0.6506,-0.0,43414,2000,21384
TrainTicket,ts-admin-basic-info-service,CPU,SCM_Auto,72.65,0.6507,-0.0,43414,2000,21384
TrainTicket,ts-admin-basic-info-service,CPU,SCM_Deployed,72.33,0.6505,0.0,43414,2000,21384
TrainTicket,ts-admin-travel-service,CPU,LinearReg,95.92,0.5615,-0.04,43409,2000,21382
TrainTicket,ts-admin-travel-service,CPU,GradBoost,84.18,0.5538,-0.011,43409,2000,21382
TrainTicket,ts-admin-travel-service,CPU,GaussianProcess,79.29,0.553,-0.008,43409,2000,21382
TrainTicket,ts-admin-travel-service,CPU,SCM_Auto,95.92,0.5615,-0.04,43409,2000,21382
TrainTicket,ts-admin-travel-service,CPU,SCM_Deployed,95.92,0.5615,-0.04,43409,2000,21382
TrainTicket,ts-assurance-service,CPU,LinearReg,98.55,0.5361,-0.016,43405,2000,21379
TrainTicket,ts-assurance-service,CPU,GradBoost,75.48,0.5336,-0.007,43405,2000,21379
TrainTicket,ts-assurance-service,CPU,GaussianProcess,62.86,0.5438,-0.045,43405,2000,21379
TrainTicket,ts-assurance-service,CPU,SCM_Auto,148.31,0.643,-0.462,43405,2000,21379
TrainTicket,ts-assurance-service,CPU,SCM_Deployed,98.55,0.5361,-0.016,43405,2000,21379
TrainTicket,ts-auth-service,CPU,LinearReg,13.54,2.5355,-0.612,43414,2000,21384
TrainTicket,ts-auth-service,CPU,GradBoost,10.62,2.0875,-0.093,43414,2000,21384
TrainTicket,ts-auth-service,CPU,GaussianProcess,9.92,1.9866,0.01,43414,2000,21384
TrainTicket,ts-auth-service,CPU,SCM_Auto,10.67,2.0791,-0.084,43414,2000,21384
TrainTicket,ts-auth-service,CPU,SCM_Deployed,10.72,2.1009,-0.107,43414,2000,21384
TrainTicket,ts-basic-service,CPU,LinearReg,42.88,3.3712,-0.371,43411,2000,21382
TrainTicket,ts-basic-service,CPU,GradBoost,30.9,2.9888,-0.078,43411,2000,21382
TrainTicket,ts-basic-service,CPU,GaussianProcess,18.65,3.0486,-0.121,43411,2000,21382
TrainTicket,ts-basic-service,CPU,SCM_Auto,23.57,3.3809,-0.379,43411,2000,21382
TrainTicket,ts-basic-service,CPU,SCM_Deployed,42.88,3.3712,-0.371,43411,2000,21382
TrainTicket,ts-config-service,CPU,LinearReg,83.21,1.808,-0.138,43410,2000,21382
TrainTicket,ts-config-service,CPU,GradBoost,30.81,1.7428,-0.057,43410,2000,21382
TrainTicket,ts-config-service,CPU,GaussianProcess,39.32,1.7156,-0.024,43410,2000,21382
TrainTicket,ts-config-service,CPU,SCM_Auto,38.13,1.7768,-0.099,43410,2000,21382
TrainTicket,ts-config-service,CPU,SCM_Deployed,83.21,1.808,-0.138,43410,2000,21382
TrainTicket,ts-consign-price-service,CPU,LinearReg,67.73,0.4649,0.002,43411,2000,21383
TrainTicket,ts-consign-price-service,CPU,GradBoost,63.74,0.468,-0.011,43411,2000,21383
TrainTicket,ts-consign-price-service,CPU,GaussianProcess,56.72,0.4734,-0.034,43411,2000,21383
TrainTicket,ts-consign-price-service,CPU,SCM_Auto,67.73,0.4649,0.002,43411,2000,21383
TrainTicket,ts-consign-price-service,CPU,SCM_Deployed,67.73,0.4649,0.002,43411,2000,21383
TrainTicket,ts-consign-service,CPU,LinearReg,72.81,0.4588,-0.0,43414,2000,21384
TrainTicket,ts-consign-service,CPU,GradBoost,58.29,0.461,-0.01,43414,2000,21384
TrainTicket,ts-consign-service,CPU,GaussianProcess,55.4,0.4655,-0.03,43414,2000,21384
TrainTicket,ts-consign-service,CPU,SCM_Auto,57.72,0.4718,-0.058,43414,2000,21384
TrainTicket,ts-consign-service,CPU,SCM_Deployed,72.81,0.4588,-0.0,43414,2000,21384
TrainTicket,ts-contacts-service,CPU,LinearReg,105.62,0.6226,-0.049,39058,2000,19238
