caller,callee,n,r2_own,r2_add,gain
ts-ticketinfo-service,ts-basic-service,64784,0.186,0.782,0.596
ts-travel2-service,ts-train-service,64775,0.105,0.7,0.595
ts-travel2-service,ts-seat-service,58305,0.036,0.616,0.579
ts-seat-service,ts-config-service,64782,0.081,0.654,0.572
ts-basic-service,ts-train-service,64773,0.105,0.666,0.561
ts-travel2-service,ts-ticketinfo-service,64786,0.162,0.689,0.527
ts-travel2-service,ts-order-other-service,64774,0.152,0.65,0.498
ts-basic-service,ts-price-service,64788,0.051,0.528,0.477
ts-travel-service,ts-seat-service,58304,0.037,0.507,0.47
ts-seat-service,ts-order-other-service,64769,0.152,0.621,0.469
ts-basic-service,ts-route-service,64786,0.061,0.494,0.433
ts-travel-service,ts-train-service,64771,0.105,0.528,0.423
ts-travel-service,ts-ticketinfo-service,64782,0.162,0.573,0.412
ts-travel2-service,ts-route-service,64788,0.061,0.465,0.404
ts-food-service,ts-travel-service,64778,0.034,0.359,0.325
ts-travel-service,ts-route-service,64784,0.061,0.379,0.318
ts-food-service,ts-food-map-service,64786,0.005,0.306,0.301
ts-seat-service,ts-order-service,64774,0.051,0.3,0.249
ts-travel-service,ts-order-service,64775,0.051,0.29,0.24
ts-preserve-service,ts-security-service,58270,0.027,0.266,0.24
ts-preserve-service,ts-seat-service,58294,0.036,0.264,0.228
ts-preserve-service,ts-contacts-service,58280,0.025,0.247,0.222
ts-preserve-service,ts-ticketinfo-service,64775,0.162,0.377,0.215
ts-admin-basic-info-service,ts-price-service,64793,0.051,0.264,0.213
ts-admin-basic-info-service,ts-config-service,64790,0.081,0.291,0.21
ts-preserve-service,ts-user-service,58256,0.012,0.218,0.206
ts-basic-service,ts-station-service,64782,0.229,0.433,0.203
ts-preserve-service,ts-travel-service,64775,0.034,0.233,0.199
ts-order-other-service,ts-station-service,64768,0.229,0.421,0.192
ts-preserve-other-service,ts-security-service,58278,0.027,0.218,0.191
ts-consign-service,ts-consign-price-service,64792,0.018,0.201,0.184
ts-preserve-other-service,ts-user-service,58262,0.012,0.193,0.181
ts-security-service,ts-order-other-service,64777,0.152,0.322,0.17
ts-preserve-service,ts-assurance-service,64768,0.019,0.18,0.161
ts-preserve-service,ts-food-service,64771,0.007,0.157,0.15
ts-admin-travel-service,ts-travel2-service,64786,0.116,0.264,0.148
ts-admin-travel-service,ts-travel-service,64782,0.034,0.175,0.141
ts-preserve-other-service,ts-travel2-service,64787,0.116,0.254,0.139
ts-preserve-other-service,ts-seat-service,58302,0.036,0.167,0.131
ts-security-service,ts-order-service,64782,0.051,0.182,0.131
ts-preserve-other-service,ts-assurance-service,64776,0.019,0.148,0.13
ts-preserve-other-service,ts-contacts-service,58288,0.025,0.154,0.128
ts-preserve-other-service,ts-ticketinfo-service,64783,0.162,0.285,0.123
ts-preserve-other-service,ts-order-other-service,64771,0.152,0.265,0.113
ts-preserve-service,ts-order-service,64768,0.051,0.151,0.1
ts-preserve-other-service,ts-food-service,64779,0.007,0.095,0.088
ts-food-service,ts-station-service,64776,0.229,0.296,0.067
ts-order-service,ts-station-service,64773,0.229,0.291,0.062
ts-inside-payment-service,ts-payment-service,64756,0.06,0.109,0.049
ts-preserve-service,ts-station-service,64773,0.229,0.261,0.032
ts-preserve-other-service,ts-station-service,64781,0.229,0.242,0.013
ts-inside-payment-service,ts-order-other-service,64776,0.152,0.159,0.007
ts-inside-payment-service,ts-order-service,64781,0.051,0.056,0.005
ts-ui-dashboard,ts-admin-basic-info-service,64789,0.0,0.0,-0.0
ts-ui-dashboard,ts-admin-travel-service,64782,0.002,0.002,0.0
ts-ui-dashboard,ts-consign-service,64789,0.029,0.029,0.0
ts-ui-dashboard,ts-contacts-service,58287,0.025,0.025,-0.0
ts-ui-dashboard,ts-food-service,64778,0.007,0.007,0.0
ts-ui-dashboard,ts-inside-payment-service,64788,0.005,0.005,0.0
ts-ui-dashboard,ts-order-other-service,64770,0.152,0.152,0.0
ts-ui-dashboard,ts-order-service,64775,0.051,0.051,-0.0
ts-ui-dashboard,ts-preserve-other-service,58231,0.052,0.052,0.0
ts-ui-dashboard,ts-preserve-service,58206,0.05,0.05,0.0
ts-ui-dashboard,ts-travel-service,64782,0.034,0.034,0.0
ts-ui-dashboard,ts-travel2-service,64786,0.116,0.116,-0.0
ts-ui-dashboard,ts-user-service,58261,0.012,0.012,0.0
